token,community
〇,0
一,0
一一,0
一下子,1
一不小心,1
一举,0
一举一动,2
一事无成,3
一些,0
一代,4
一会儿,5
一体,6
一共,0
一再,0
一切,0
一刹那,1
一动不动,2
一半,0
一卡通,7
一口气,2
一句话,8
一同,6
一向,1
一味,9
一块儿,6
一塌糊涂,1
一声不吭,2
一大早,5
一天到晚,5
一头,2
一如既往,1
一定,1
一家人,4
一帆风顺,3
一带,10
一干二净,1
一年到头,5
一应俱全,11
一度,0
一律,1
一心,12
一心一意,12
一成不变,9
一手,2
一技之长,13
一把手,14
一揽子,11
一方面,1
一旁,10
一无所有,3
一无所知,3
一旦,1
一早,5
一时,1
一晃,15
一样,6
一概,0
一概而论,16
一模一样,6
一次性,7
一毛不拔,17
一流,18
一点儿,0
一生,4
一番,5
一目了然,19
一直,1
一眼,2
一瞬间,1
一筹莫展,3
一系列,0
一线,10
一经,12
一致,6
一般,0
一般来说,1
一行,20
一言一行,2
一言不发,2
一贯,1
一起,6
一路,10
一路上,10
一路平安,3
一路顺风,3
一身,21
一辈子,5
一边,10
一连,0
一连串,0
一道,6
一部分,0
一锅粥,15
一长一短,21
一阵,22
一面,10
一鼓作气,12
一齐,0
丁,23
七,0
七嘴八舌,2
万,0
万一,1
万万,16
万分,24
万古长青,19
万无一失,25
万能,26
丈夫,4
三,0
三明治,23
三番五次,0
三维,22
三角,27
上,10
上下,10
上个月,5
上任,14
上升,28
上午,5
上去,29
上台,14
上司,4
上周,5
上场,26
上头,10
上学,8
上岗,14
上市,30
上帝,19
上当,31
上报,11
上方,10
上旬,5
上映,22
上期,5
上来,29
上楼,29
上次,5
上流,32
上涨,28
上游,33
上演,16
上火,15
上班,5
上班族,4
上瘾,13
上空,27
上级,14
上网,34
上衣,21
上诉,31
上课,8
上调,28
上车,29
上边,10
上述,0
上门,21
上限,11
上面,10
下,10
下一代,4
下个月,5
下乡,29
下令,12
下决心,12
下功夫,35
下午,5
下去,29
下台,14
下场,26
下坠,15
下属,14
下山,29
下岗,14
下意识,1
下手,6
下旬,5
下期,5
下来,29
下棋,17
下楼,29
下次,1
下海,29
下游,33
下班,29
下级,14
下落,15
下课,29
下调,28
下跌,28
下车,29
下载,34
下边,10
下降,28
下雨,36
下雪,36
下面,10
不,1
不一会儿,5
不一定,1
不为人知,18
不久,5
不了了之,1
不予,11
不亚于,6
不亦乐乎,27
不仅,1
不仅仅,1
不以为然,3
不但,1
不便,37
不值,3
不假思索,1
不停,5
不像话,1
不光,1
不免,1
不再,1
不准,1
不利,37
不利于,37
不可思议,3
不可避免,1
不同,6
不同寻常,19
不在乎,3
不堪,3
不够,24
不大,24
不好意思,3
不如,6
不如说,1
不妨,1
不安,3
不定,3
不宜,1
不容,1
不对,1
不少,0
不屑,3
不已,3
不平,3
不幸,3
不得不,12
不得了,1
不得已,12
