token,community
〇,0
一,0
一一,0
一下子,1
一不小心,2
一举,1
一举一动,3
一事无成,2
一些,0
一代,4
一会儿,5
一体,6
一共,0
一再,1
一切,0
一刹那,1
一动不动,7
一半,0
一卡通,8
一口气,3
一句话,9
一同,6
一向,10
一味,1
一块儿,6
一塌糊涂,10
一声不吭,7
一大早,5
一天到晚,5
一头,7
一如既往,10
一定,10
一家人,4
一帆风顺,11
一带,12
一干二净,10
一年到头,5
一应俱全,13
一度,1
一律,10
一心,14
一心一意,14
一成不变,15
一手,7
一技之长,16
一把手,17
一揽子,13
一方面,10
一旁,12
一无所有,2
一无所知,2
一旦,10
一早,5
一时,1
一晃,7
一样,6
一概,0
一概而论,3
一模一样,6
一次性,8
一毛不拔,18
一流,19
一点儿,0
一生,20
一番,5
一目了然,11
一直,10
一眼,3
一瞬间,1
一筹莫展,2
一系列,0
一线,12
一经,1
一致,6
一般,0
一般来说,10
一行,21
一言一行,3
一言不发,7
一贯,10
一起,6
一路,2
一路上,22
一路平安,2
一路顺风,2
一身,23
一辈子,20
一边,12
一连,1
一连串,0
一道,6
一部分,0
一锅粥,24
一长一短,23
一阵,3
一面,12
一鼓作气,14
一齐,6
丁,24
七,0
七嘴八舌,3
万,0
万一,10
万万,3
万分,1
万古长青,21
万无一失,25
万能,16
丈夫,4
三,0
三明治,24
三番五次,1
三维,26
三角,15
上,12
上下,12
上个月,5
上任,17
上升,27
上午,5
上去,28
上台,17
上司,4
上周,5
上场,29
上头,12
上学,9
上岗,17
上市,30
上帝,31
上当,25
上报,32
上方,12
上旬,5
上映,26
上期,5
上来,28
上楼,28
上次,5
上流,31
上涨,27
上游,13
上演,3
上火,24
上班,5
上班族,4
上瘾,16
上空,15
上级,17
上网,33
上衣,23
上诉,34
上课,9
上调,27
上车,28
上边,12
上述,12
上门,23
上限,13
上面,12
下,12
下一代,4
下个月,5
下乡,28
下令,1
下决心,14
下功夫,14
下午,5
下去,28
下台,17
下场,29
下坠,35
下属,17
下山,28
下岗,17
下意识,1
下手,6
下旬,5
下期,5
下来,28
下棋,34
下楼,28
下次,10
下海,28
下游,13
下班,28
下级,17
下落,36
下课,28
下调,27
下跌,27
下车,28
下载,33
下边,12
下降,27
下雨,36
下雪,36
下面,12
不,10
不一会儿,5
不一定,10
不为人知,19
不久,5
不了了之,28
不予,13
不亚于,6
不亦乐乎,37
不仅,10
不仅仅,10
不以为然,2
不但,10
不便,38
不值,2
不假思索,1
不停,5
不像话,10
不光,10
不免,1
不再,10
不准,10
不利,38
不利于,38
不可思议,2
不可避免,10
不同,6
不同寻常,18
不在乎,2
不堪,2
不够,39
不大,1
不好意思,2
不如,6
不如说,10
不妨,10
不安,2
不定,2
不宜,10
不容,10
不对,10
不少,0
不屑,2
不已,2
不平,2
不幸,2
不得不,1
不得了,10
不得已,1
