token,community
〇,0
一,0
一一,0
一下子,0
一不小心,0
一举,0
一举一动,1
一事无成,1
一些,0
一代,2
一会儿,0
一体,3
一共,0
一再,0
一切,0
一刹那,0
一动不动,1
一半,0
一卡通,3
一口气,0
一句话,1
一同,0
一向,0
一味,0
一块儿,0
一塌糊涂,1
一声不吭,1
一大早,0
一天到晚,0
一头,4
一如既往,0
一定,0
一家人,2
一帆风顺,1
一带,5
一干二净,1
一年到头,0
一应俱全,1
一度,0
一律,0
一心,1
一心一意,1
一成不变,1
一手,4
一技之长,1
一把手,2
一揽子,3
一方面,0
一旁,5
一无所有,1
一无所知,1
一旦,0
一早,0
一时,0
一晃,0
一样,0
一概,0
一概而论,0
一模一样,0
一次性,3
一毛不拔,1
一流,1
一点儿,0
一生,1
一番,0
一目了然,1
一直,0
一眼,1
一瞬间,0
一筹莫展,1
一系列,0
一线,5
一经,0
一致,0
一般,0
一般来说,0
一行,2
一言一行,1
一言不发,1
一贯,0
一起,0
一路,5
一路上,5
一路平安,1
一路顺风,1
一身,4
一辈子,0
一边,0
一连,0
一连串,0
一道,0
一部分,0
一锅粥,4
一长一短,4
一阵,0
一面,0
一鼓作气,1
一齐,0
丁,4
七,0
七嘴八舌,1
万,0
万一,0
万万,0
万分,1
万古长青,1
万无一失,1
万能,1
丈夫,2
三,0
三明治,4
三番五次,0
三维,2
三角,4
上,5
上下,5
上个月,0
上任,2
上升,3
上午,0
上去,5
上台,2
上司,2
上周,0
上场,2
上头,5
上学,2
上岗,2
上市,3
上帝,1
上当,1
上报,3
上方,5
上旬,0
上映,2
上期,0
上来,5
上楼,5
上次,0
上流,2
上涨,3
上游,3
上演,3
上火,4
上班,0
上班族,2
上瘾,1
上空,5
上级,2
上网,2
上衣,4
上诉,3
上课,2
上调,3
上车,5
上边,5
上述,0
上门,5
上限,3
上面,5
下,5
下一代,2
下个月,0
下乡,5
下令,3
下决心,0
下功夫,1
下午,0
下去,0
下台,2
下场,1
下坠,4
下属,2
下山,5
下岗,2
下意识,0
下手,1
下旬,0
下期,0
下来,0
下棋,2
下楼,5
下次,0
下海,5
下游,3
下班,0
下级,2
下落,3
下课,2
下调,3
下跌,3
下车,5
下载,2
下边,5
下降,3
下雨,4
下雪,4
下面,5
不,0
不一会儿,0
不一定,0
不为人知,1
不久,0
不了了之,1
不予,3
不亚于,0
不亦乐乎,1
不仅,0
不仅仅,0
不以为然,1
不但,0
不便,1
不值,1
不假思索,0
不停,0
不像话,0
不光,0
不免,0
不再,0
不准,0
不利,1
不利于,0
不可思议,1
不可避免,0
不同,0
不同寻常,1
不在乎,1
不堪,1
不够,0
不大,0
不好意思,1
不如,0
不如说,0
不妨,0
不安,1
不定,1
不宜,0
不容,0
不对,0
不少,0
不屑,1
不已,1
不平,1
不幸,1
不得不,0
不得了,0
不得已,0
