token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,10
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,10
一大早,24
一天到晚,25
一头,26
一如既往,27
一定,28
一家人,29
一帆风顺,30
一带,31
一干二净,32
一年到头,25
一应俱全,33
一度,34
一律,35
一心,36
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,43
一无所有,7
一无所知,44
一旦,45
一早,24
一时,46
一晃,47
一样,48
一概,2
一概而论,49
一模一样,50
一次性,51
一毛不拔,52
一流,53
一点儿,54
一生,55
一番,56
一目了然,57
一直,58
一眼,59
一瞬间,15
一筹莫展,60
一系列,61
一线,62
一经,63
一致,64
一般,65
一般来说,66
一行,67
一言一行,6
一言不发,10
一贯,21
一起,20
一路,31
一路上,68
一路平安,30
一路顺风,30
一身,11
一辈子,55
一边,42
一连,69
一连串,61
一道,70
一部分,71
一锅粥,72
一长一短,73
一阵,74
一面,42
一鼓作气,18
一齐,20
丁,75
七,76
七嘴八舌,77
万,78
万一,79
万万,80
万分,81
万古长青,82
万无一失,83
万能,84
丈夫,85
三,76
三明治,86
三番五次,87
三维,88
三角,89
上,90
上下,91
上个月,92
上任,93
上升,94
上午,24
上去,95
上台,96
上司,97
上周,92
上场,98
上头,90
上学,99
上岗,100
上市,101
上帝,102
上当,103
上报,104
上方,105
上旬,106
上映,107
上期,108
上来,95
上楼,109
上次,92
上流,110
上涨,94
上游,111
上演,112
上火,113
上班,114
上班族,115
上瘾,116
上空,117
上级,97
上网,118
上衣,119
上诉,120
上课,121
上调,122
上车,123
上边,124
上述,125
上门,126
上限,127
上面,124
下,128
下一代,9
下个月,129
下乡,130
下令,131
下决心,132
下功夫,133
下午,24
下去,134
下台,96
下场,98
下坠,135
下属,136
下山,109
下岗,137
下意识,138
下手,139
下旬,106
下期,140
下来,95
下棋,141
下楼,109
下次,129
下海,142
下游,111
下班,114
下级,97
下落,135
下课,121
下调,122
下跌,94
下车,123
下载,143
下边,124
下降,94
下雨,144
下雪,144
下面,124
不,145
不一会儿,10
不一定,146
不为人知,147
不久,148
不了了之,149
不予,150
不亚于,151
不亦乐乎,152
不仅,153
不仅仅,153
不以为然,154
不但,155
不便,156
不值,157
不假思索,158
不停,159
不像话,160
不光,153
不免,161
不再,162
不准,163
不利,164
不利于,165
不可思议,166
不可避免,167
不同,50
不同寻常,168
不在乎,169
不堪,170
不够,171
不大,172
不好意思,173
不如,151
不如说,174
不妨,175
不安,176
不定,177
