token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,2
一向,19
一味,20
一块儿,2
一塌糊涂,21
一声不吭,15
一大早,22
一天到晚,23
一头,24
一如既往,19
一定,25
一家人,26
一帆风顺,27
一带,27
一干二净,21
一年到头,23
一应俱全,28
一度,13
一律,14
一心,29
一心一意,29
一成不变,30
一手,31
一技之长,32
一把手,33
一揽子,34
一方面,35
一旁,36
一无所有,7
一无所知,7
一旦,37
一早,22
一时,38
一晃,39
一样,40
一概,14
一概而论,41
一模一样,42
一次性,43
一毛不拔,44
一流,45
一点儿,46
一生,47
一番,48
一目了然,49
一直,19
一眼,15
一瞬间,3
一筹莫展,50
一系列,8
一线,51
一经,52
一致,53
一般,16
一般来说,35
一行,54
一言一行,6
一言不发,15
一贯,19
一起,2
一路,27
一路上,55
一路平安,56
一路顺风,27
一身,57
一辈子,47
一边,36
一连,58
一连串,8
一道,59
一部分,16
一锅粥,60
一长一短,61
一阵,62
一面,63
一鼓作气,5
一齐,2
丁,64
七,1
七嘴八舌,15
万,1
万一,37
万万,65
万分,66
万古长青,67
万无一失,68
万能,69
丈夫,26
三,1
三明治,70
三番五次,13
三维,71
三角,72
上,36
上下,73
上个月,74
上任,75
上升,76
上午,22
上去,77
上台,75
上司,78
上周,74
上场,79
上头,36
上学,80
上岗,81
上市,82
上帝,83
上当,84
上报,85
上方,86
上旬,74
上映,87
上期,88
上来,77
上楼,22
上次,74
上流,89
上涨,76
上游,90
上演,91
上火,92
上班,22
上班族,93
上瘾,32
上空,94
上级,78
上网,95
上衣,96
上诉,97
上课,98
上调,99
上车,100
上边,36
上述,101
上门,102
上限,103
上面,36
下,104
下一代,9
下个月,74
下乡,105
下令,106
下决心,106
下功夫,107
下午,22
下去,77
下台,75
下场,108
下坠,109
下属,110
下山,111
下岗,81
下意识,3
下手,112
下旬,74
下期,88
下来,77
下棋,113
下楼,22
下次,74
下海,114
下游,90
下班,22
下级,78
下落,109
下课,22
下调,99
下跌,76
下车,100
下载,115
下边,36
下降,76
下雨,116
下雪,116
下面,36
不,117
不一会儿,118
不一定,25
不为人知,119
不久,118
不了了之,120
不予,121
不亚于,122
不亦乐乎,123
不仅,37
不仅仅,37
不以为然,124
不但,37
不便,125
不值,126
不假思索,3
不停,23
不像话,127
不光,37
不免,25
不再,117
不准,14
不利,128
不利于,128
不可思议,129
不可避免,25
不同,42
不同寻常,42
不在乎,130
不堪,131
不够,132
不大,133
不好意思,124
不如,122
不如说,37
不妨,122
不安,124
不定,134
