token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,2
一向,20
一味,21
一块儿,2
一塌糊涂,22
一声不吭,15
一大早,23
一天到晚,24
一头,25
一如既往,20
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,30
一年到头,24
一应俱全,31
一度,5
一律,14
一心,32
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,15
一无所有,7
一无所知,7
一旦,39
一早,23
一时,3
一晃,40
一样,41
一概,14
一概而论,42
一模一样,43
一次性,44
一毛不拔,45
一流,46
一点儿,10
一生,47
一番,48
一目了然,30
一直,20
一眼,49
一瞬间,3
一筹莫展,50
一系列,51
一线,52
一经,53
一致,54
一般,55
一般来说,56
一行,57
一言一行,6
一言不发,15
一贯,20
一起,2
一路,29
一路上,58
一路平安,59
一路顺风,28
一身,11
一辈子,60
一边,34
一连,61
一连串,51
一道,2
一部分,62
一锅粥,63
一长一短,64
一阵,65
一面,34
一鼓作气,66
一齐,2
丁,67
七,68
七嘴八舌,69
万,70
万一,71
万万,72
万分,73
万古长青,74
万无一失,75
万能,76
丈夫,77
三,68
三明治,78
三番五次,13
三维,79
三角,80
上,81
上下,82
上个月,83
上任,84
上升,85
上午,23
上去,86
上台,87
上司,88
上周,89
上场,90
上头,81
上学,91
上岗,92
上市,93
上帝,94
上当,95
上报,96
上方,97
上旬,83
上映,98
上期,99
上来,86
上楼,100
上次,101
上流,102
上涨,85
上游,103
上演,104
上火,105
上班,106
上班族,106
上瘾,107
上空,108
上级,88
上网,109
上衣,110
上诉,111
上课,112
上调,113
上车,114
上边,81
上述,115
上门,116
上限,117
上面,81
下,118
下一代,9
下个月,83
下乡,119
下令,120
下决心,121
下功夫,122
下午,23
下去,86
下台,123
下场,90
下坠,124
下属,88
下山,119
下岗,125
下意识,126
下手,127
下旬,83
下期,99
下来,86
下棋,128
下楼,100
下次,10
下海,119
下游,103
下班,106
下级,88
下落,124
下课,129
下调,113
下跌,130
下车,114
下载,131
下边,81
下降,85
下雨,132
下雪,132
下面,81
不,133
不一会儿,10
不一定,26
不为人知,134
不久,135
不了了之,136
不予,137
不亚于,138
不亦乐乎,139
不仅,140
不仅仅,140
不以为然,141
不但,142
不便,143
不值,144
不假思索,145
不停,146
不像话,22
不光,140
不免,147
不再,148
不准,149
不利,150
不利于,151
不可思议,152
不可避免,147
不同,43
不同寻常,153
不在乎,154
不堪,155
不够,133
不大,133
不好意思,156
不如,138
不如说,140
不妨,157
不安,158
不定,159
