token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,3
一动不动,14
一半,15
一卡通,16
一口气,5
一句话,17
一同,18
一向,19
一味,20
一块儿,18
一塌糊涂,21
一声不吭,22
一大早,23
一天到晚,24
一头,25
一如既往,26
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,21
一年到头,31
一应俱全,32
一度,33
一律,2
一心,34
一心一意,35
一成不变,36
一手,37
一技之长,38
一把手,39
一揽子,40
一方面,41
一旁,42
一无所有,7
一无所知,7
一旦,43
一早,23
一时,44
一晃,45
一样,46
一概,2
一概而论,47
一模一样,48
一次性,49
一毛不拔,50
一流,51
一点儿,52
一生,53
一番,54
一目了然,55
一直,56
一眼,57
一瞬间,3
一筹莫展,58
一系列,8
一线,59
一经,60
一致,61
一般,62
一般来说,63
一行,64
一言一行,6
一言不发,22
一贯,19
一起,18
一路,30
一路上,65
一路平安,66
一路顺风,66
一身,11
一辈子,53
一边,42
一连,67
一连串,68
一道,18
一部分,69
一锅粥,70
一长一短,71
一阵,72
一面,42
一鼓作气,5
一齐,18
丁,73
七,74
七嘴八舌,75
万,76
万一,77
万万,78
万分,79
万古长青,80
万无一失,81
万能,82
丈夫,83
三,74
三明治,84
三番五次,13
三维,85
三角,86
上,87
上下,88
上个月,89
上任,90
上升,91
上午,23
上去,92
上台,93
上司,94
上周,89
上场,95
上头,87
上学,96
上岗,97
上市,98
上帝,99
上当,100
上报,101
上方,102
上旬,103
上映,104
上期,105
上来,92
上楼,106
上次,107
上流,108
上涨,109
上游,110
上演,111
上火,112
上班,113
上班族,114
上瘾,115
上空,116
上级,94
上网,117
上衣,118
上诉,119
上课,120
上调,121
上车,106
上边,122
上述,123
上门,106
上限,124
上面,122
下,125
下一代,9
下个月,126
下乡,127
下令,128
下决心,34
下功夫,129
下午,23
下去,92
下台,93
下场,130
下坠,131
下属,132
下山,133
下岗,134
下意识,135
下手,136
下旬,103
下期,126
下来,92
下棋,137
下楼,106
下次,126
下海,133
下游,110
下班,113
下级,94
下落,131
下课,138
下调,121
下跌,109
下车,139
下载,140
下边,122
下降,91
下雨,141
下雪,141
下面,122
不,142
不一会儿,10
不一定,27
不为人知,143
不久,144
不了了之,145
不予,146
不亚于,147
不亦乐乎,148
不仅,41
不仅仅,149
不以为然,150
不但,41
不便,151
不值,152
不假思索,153
不停,24
不像话,154
不光,41
不免,155
不再,156
不准,157
不利,158
不利于,159
不可思议,160
不可避免,155
不同,48
不同寻常,161
不在乎,162
不堪,163
不够,142
不大,164
不好意思,165
不如,166
不如说,166
不妨,167
不安,168
不定,169
