token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,15
一大早,24
一天到晚,25
一头,26
一如既往,22
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,23
一年到头,25
一应俱全,31
一度,32
一律,33
一心,34
一心一意,34
一成不变,35
一手,36
一技之长,37
一把手,38
一揽子,39
一方面,40
一旁,41
一无所有,7
一无所知,7
一旦,42
一早,24
一时,43
一晃,44
一样,45
一概,2
一概而论,46
一模一样,47
一次性,48
一毛不拔,49
一流,50
一点儿,51
一生,52
一番,53
一目了然,54
一直,55
一眼,56
一瞬间,3
一筹莫展,57
一系列,8
一线,58
一经,2
一致,59
一般,60
一般来说,61
一行,62
一言一行,6
一言不发,15
一贯,21
一起,20
一路,30
一路上,63
一路平安,64
一路顺风,64
一身,65
一辈子,52
一边,41
一连,66
一连串,67
一道,20
一部分,68
一锅粥,23
一长一短,69
一阵,10
一面,41
一鼓作气,5
一齐,20
丁,70
七,71
七嘴八舌,72
万,73
万一,74
万万,75
万分,75
万古长青,76
万无一失,77
万能,78
丈夫,79
三,71
三明治,80
三番五次,81
三维,82
三角,83
上,84
上下,85
上个月,86
上任,87
上升,88
上午,24
上去,89
上台,90
上司,91
上周,92
上场,93
上头,94
上学,95
上岗,37
上市,96
上帝,97
上当,98
上报,99
上方,100
上旬,86
上映,101
上期,102
上来,89
上楼,103
上次,104
上流,105
上涨,106
上游,107
上演,108
上火,109
上班,110
上班族,111
上瘾,112
上空,113
上级,91
上网,114
上衣,115
上诉,116
上课,117
上调,118
上车,119
上边,120
上述,121
上门,103
上限,122
上面,120
下,123
下一代,9
下个月,124
下乡,125
下令,126
下决心,127
下功夫,128
下午,24
下去,89
下台,90
下场,129
下坠,130
下属,131
下山,132
下岗,133
下意识,134
下手,135
下旬,86
下期,102
下来,89
下棋,136
下楼,103
下次,124
下海,132
下游,107
下班,110
下级,91
下落,130
下课,117
下调,118
下跌,106
下车,119
下载,137
下边,120
下降,88
下雨,138
下雪,138
下面,120
不,139
不一会儿,10
不一定,27
不为人知,140
不久,141
不了了之,54
不予,142
不亚于,143
不亦乐乎,144
不仅,145
不仅仅,145
不以为然,146
不但,147
不便,148
不值,149
不假思索,150
不停,151
不像话,152
不光,145
不免,153
不再,145
不准,33
不利,154
不利于,155
不可思议,156
不可避免,157
不同,47
不同寻常,158
不在乎,159
不堪,160
不够,139
不大,161
不好意思,162
不如,163
不如说,164
不妨,165
不安,166
不定,167
