token,community
〇,0
一,1
一一,2
一下子,3
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,2
一代,7
一会儿,3
一体,8
一共,9
一再,9
一切,2
一刹那,3
一动不动,10
一半,2
一卡通,11
一口气,4
一句话,12
一同,13
一向,3
一味,13
一块儿,3
一塌糊涂,3
一声不吭,10
一大早,14
一天到晚,3
一头,15
一如既往,16
一定,3
一家人,7
一帆风顺,17
一带,17
一干二净,18
一年到头,3
一应俱全,19
一度,3
一律,3
一心,13
一心一意,13
一成不变,20
一手,21
一技之长,5
一把手,22
一揽子,2
一方面,3
一旁,17
一无所有,6
一无所知,6
一旦,3
一早,14
一时,23
一晃,3
一样,3
一概,2
一概而论,2
一模一样,24
一次性,25
一毛不拔,26
一流,27
一点儿,3
一生,28
一番,29
一目了然,29
一直,3
一眼,10
一瞬间,3
一筹莫展,10
一系列,2
一线,21
一经,2
一致,24
一般,3
一般来说,3
一行,30
一言一行,5
一言不发,10
一贯,3
一起,13
一路,17
一路上,17
一路平安,17
一路顺风,17
一身,31
一辈子,3
一边,17
一连,9
一连串,2
一道,13
一部分,2
一锅粥,31
一长一短,32
一阵,3
一面,33
一鼓作气,4
一齐,3
丁,34
七,1
七嘴八舌,10
万,1
万一,3
万万,1
万分,35
万古长青,10
万无一失,36
万能,37
丈夫,7
三,1
三明治,31
三番五次,9
三维,38
三角,39
上,17
上下,40
上个月,14
上任,22
上升,41
上午,14
上去,42
上台,22
上司,7
上周,14
上场,43
上头,17
上学,12
上岗,22
上市,44
上帝,15
上当,10
上报,11
上方,17
上旬,14
上映,45
上期,46
上来,42
上楼,31
上次,14
上流,47
上涨,41
上游,48
上演,49
上火,31
上班,14
上班族,14
上瘾,10
上空,17
上级,50
上网,33
上衣,31
上诉,51
上课,12
上调,41
上车,52
上边,17
上述,2
上门,42
上限,53
上面,17
下,17
下一代,7
下个月,14
下乡,43
下令,3
下决心,13
下功夫,13
下午,14
下去,42
下台,22
下场,43
下坠,54
下属,50
下山,42
下岗,22
下意识,10
下手,55
下旬,14
下期,46
下来,42
下棋,43
下楼,31
下次,3
下海,42
下游,48
下班,14
下级,50
下落,56
下课,12
下调,41
下跌,41
下车,52
下载,45
下边,17
下降,41
下雨,14
下雪,14
下面,17
不,3
不一会儿,3
不一定,3
不为人知,38
不久,3
不了了之,6
不予,57
不亚于,24
不亦乐乎,10
不仅,3
不仅仅,3
不以为然,10
不但,3
不便,58
不值,10
不假思索,10
不停,10
不像话,3
不光,3
不免,3
不再,3
不准,3
不利,59
不利于,3
不可思议,10
不可避免,3
不同,24
不同寻常,38
不在乎,10
不堪,10
不够,3
不大,3
不好意思,10
不如,3
不如说,3
不妨,3
不安,10
不定,60
