token,community
〇,0
一,1
一一,2
一下子,3
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,2
一代,7
一会儿,3
一体,8
一共,9
一再,10
一切,2
一刹那,3
一动不动,11
一半,2
一卡通,12
一口气,4
一句话,11
一同,13
一向,3
一味,14
一块儿,15
一塌糊涂,3
一声不吭,11
一大早,16
一天到晚,3
一头,17
一如既往,14
一定,3
一家人,7
一帆风顺,18
一带,15
一干二净,19
一年到头,3
一应俱全,13
一度,3
一律,2
一心,14
一心一意,14
一成不变,20
一手,21
一技之长,4
一把手,22
一揽子,2
一方面,3
一旁,15
一无所有,6
一无所知,6
一旦,3
一早,16
一时,23
一晃,3
一样,3
一概,2
一概而论,2
一模一样,24
一次性,25
一毛不拔,26
一流,27
一点儿,3
一生,28
一番,29
一目了然,30
一直,3
一眼,11
一瞬间,3
一筹莫展,11
一系列,2
一线,21
一经,2
一致,24
一般,3
一般来说,3
一行,31
一言一行,5
一言不发,11
一贯,3
一起,13
一路,18
一路上,32
一路平安,3
一路顺风,18
一身,33
一辈子,3
一边,15
一连,10
一连串,2
一道,13
一部分,2
一锅粥,33
一长一短,34
一阵,11
一面,35
一鼓作气,4
一齐,11
丁,17
七,1
七嘴八舌,11
万,1
万一,3
万万,1
万分,36
万古长青,18
万无一失,14
万能,37
丈夫,7
三,1
三明治,33
三番五次,10
三维,30
三角,38
上,15
上下,39
上个月,16
上任,22
上升,10
上午,16
上去,40
上台,22
上司,7
上周,16
上场,41
上头,15
上学,42
上岗,22
上市,43
上帝,7
上当,44
上报,45
上方,15
上旬,16
上映,42
上期,46
上来,40
上楼,33
上次,16
上流,47
上涨,10
上游,48
上演,10
上火,33
上班,16
上班族,16
上瘾,11
上空,15
上级,49
上网,50
上衣,33
上诉,44
上课,42
上调,10
上车,32
上边,15
上述,2
上门,40
上限,51
上面,15
下,15
下一代,7
下个月,16
下乡,15
下令,52
下决心,14
下功夫,4
下午,16
下去,40
下台,22
下场,41
下坠,53
下属,49
下山,32
下岗,22
下意识,11
下手,54
下旬,16
下期,46
下来,40
下棋,11
下楼,33
下次,3
下海,22
下游,48
下班,16
下级,49
下落,55
下课,16
下调,10
下跌,10
下车,32
下载,50
下边,15
下降,10
下雨,16
下雪,16
下面,15
不,3
不一会儿,3
不一定,3
不为人知,30
不久,3
不了了之,6
不予,56
不亚于,9
不亦乐乎,11
不仅,3
不仅仅,3
不以为然,11
不但,3
不便,12
不值,11
不假思索,11
不停,11
不像话,11
不光,3
不免,3
不再,3
不准,3
不利,57
不利于,3
不可思议,11
不可避免,3
不同,24
不同寻常,30
不在乎,11
不堪,11
不够,3
不大,3
不好意思,11
不如,3
不如说,3
不妨,3
不安,11
不定,58
