token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,5
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,16
一大早,24
一天到晚,25
一头,26
一如既往,27
一定,28
一家人,29
一帆风顺,30
一带,31
一干二净,32
一年到头,25
一应俱全,33
一度,34
一律,35
一心,36
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,43
一无所有,7
一无所知,7
一旦,44
一早,24
一时,45
一晃,46
一样,47
一概,35
一概而论,48
一模一样,49
一次性,50
一毛不拔,51
一流,52
一点儿,53
一生,54
一番,55
一目了然,56
一直,21
一眼,57
一瞬间,15
一筹莫展,58
一系列,14
一线,59
一经,35
一致,60
一般,61
一般来说,62
一行,63
一言一行,6
一言不发,16
一贯,21
一起,20
一路,31
一路上,64
一路平安,65
一路顺风,65
一身,66
一辈子,54
一边,67
一连,68
一连串,14
一道,69
一部分,70
一锅粥,71
一长一短,72
一阵,73
一面,67
一鼓作气,5
一齐,20
丁,74
七,75
七嘴八舌,76
万,77
万一,78
万万,79
万分,80
万古长青,81
万无一失,82
万能,83
丈夫,84
三,75
三明治,85
三番五次,13
三维,86
三角,87
上,88
上下,89
上个月,90
上任,91
上升,92
上午,24
上去,93
上台,91
上司,94
上周,95
上场,96
上头,97
上学,98
上岗,99
上市,100
上帝,101
上当,102
上报,103
上方,104
上旬,105
上映,106
上期,107
上来,93
上楼,108
上次,90
上流,109
上涨,92
上游,110
上演,111
上火,112
上班,113
上班族,114
上瘾,115
上空,116
上级,94
上网,117
上衣,118
上诉,119
上课,120
上调,121
上车,122
上边,97
上述,123
上门,108
上限,124
上面,97
下,89
下一代,9
下个月,125
下乡,126
下令,127
下决心,128
下功夫,129
下午,24
下去,93
下台,91
下场,96
下坠,130
下属,94
下山,131
下岗,132
下意识,133
下手,134
下旬,105
下期,107
下来,93
下棋,135
下楼,108
下次,136
下海,131
下游,110
下班,113
下级,94
下落,137
下课,120
下调,121
下跌,92
下车,122
下载,138
下边,97
下降,139
下雨,140
下雪,140
下面,97
不,141
不一会儿,142
不一定,143
不为人知,144
不久,145
不了了之,146
不予,147
不亚于,148
不亦乐乎,149
不仅,42
不仅仅,42
不以为然,150
不但,42
不便,151
不值,152
不假思索,153
不停,154
不像话,23
不光,42
不免,155
不再,156
不准,157
不利,158
不利于,159
不可思议,160
不可避免,155
不同,49
不同寻常,161
不在乎,162
不堪,163
不够,164
不大,165
不好意思,166
不如,148
不如说,167
不妨,168
不安,169
不定,170
