token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,5
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,16
一大早,24
一天到晚,25
一头,26
一如既往,27
一定,28
一家人,29
一帆风顺,30
一带,31
一干二净,23
一年到头,25
一应俱全,32
一度,33
一律,34
一心,35
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,43
一无所有,7
一无所知,7
一旦,44
一早,24
一时,45
一晃,46
一样,47
一概,34
一概而论,48
一模一样,49
一次性,50
一毛不拔,7
一流,51
一点儿,52
一生,53
一番,54
一目了然,55
一直,56
一眼,57
一瞬间,15
一筹莫展,58
一系列,14
一线,59
一经,34
一致,60
一般,61
一般来说,62
一行,63
一言一行,6
一言不发,16
一贯,21
一起,20
一路,31
一路上,64
一路平安,65
一路顺风,65
一身,11
一辈子,53
一边,43
一连,66
一连串,14
一道,20
一部分,67
一锅粥,23
一长一短,68
一阵,69
一面,43
一鼓作气,5
一齐,70
丁,71
七,72
七嘴八舌,73
万,74
万一,75
万万,76
万分,77
万古长青,78
万无一失,79
万能,80
丈夫,81
三,72
三明治,82
三番五次,13
三维,83
三角,84
上,85
上下,86
上个月,87
上任,88
上升,89
上午,24
上去,90
上台,88
上司,91
上周,87
上场,92
上头,93
上学,94
上岗,95
上市,96
上帝,97
上当,98
上报,99
上方,100
上旬,101
上映,102
上期,103
上来,90
上楼,104
上次,105
上流,106
上涨,89
上游,107
上演,108
上火,109
上班,110
上班族,111
上瘾,112
上空,113
上级,114
上网,115
上衣,116
上诉,117
上课,118
上调,119
上车,120
上边,93
上述,121
上门,122
上限,123
上面,93
下,124
下一代,9
下个月,125
下乡,122
下令,126
下决心,127
下功夫,128
下午,24
下去,90
下台,88
下场,129
下坠,130
下属,131
下山,132
下岗,133
下意识,134
下手,135
下旬,101
下期,136
下来,90
下棋,137
下楼,104
下次,136
下海,132
下游,107
下班,110
下级,114
下落,130
下课,118
下调,119
下跌,89
下车,120
下载,138
下边,93
下降,139
下雨,140
下雪,140
下面,93
不,141
不一会儿,142
不一定,143
不为人知,144
不久,145
不了了之,146
不予,147
不亚于,148
不亦乐乎,149
不仅,150
不仅仅,150
不以为然,151
不但,152
不便,153
不值,154
不假思索,155
不停,156
不像话,157
不光,150
不免,158
不再,159
不准,160
不利,161
不利于,161
不可思议,162
不可避免,163
不同,49
不同寻常,164
不在乎,165
不堪,166
不够,167
不大,168
不好意思,169
不如,170
不如说,171
不妨,170
不安,172
不定,173
