token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,7
一代,8
一会儿,9
一体,10
一共,11
一再,12
一切,7
一刹那,13
一动不动,14
一半,1
一卡通,15
一口气,16
一句话,17
一同,18
一向,19
一味,20
一块儿,18
一塌糊涂,21
一声不吭,22
一大早,23
一天到晚,24
一头,25
一如既往,19
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,21
一年到头,24
一应俱全,30
一度,12
一律,1
一心,31
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,6
一无所知,6
一旦,40
一早,23
一时,13
一晃,13
一样,41
一概,1
一概而论,42
一模一样,41
一次性,43
一毛不拔,6
一流,44
一点儿,45
一生,46
一番,9
一目了然,47
一直,19
一眼,48
一瞬间,13
一筹莫展,6
一系列,7
一线,49
一经,2
一致,50
一般,1
一般来说,51
一行,52
一言一行,5
一言不发,22
一贯,19
一起,18
一路,29
一路上,53
一路平安,28
一路顺风,28
一身,54
一辈子,55
一边,39
一连,16
一连串,7
一道,18
一部分,1
一锅粥,21
一长一短,56
一阵,57
一面,58
一鼓作气,59
一齐,18
丁,60
七,0
七嘴八舌,61
万,62
万一,40
万万,63
万分,64
万古长青,65
万无一失,66
万能,67
丈夫,27
三,0
三明治,68
三番五次,12
三维,69
三角,70
上,39
上下,71
上个月,72
上任,73
上升,74
上午,23
上去,75
上台,76
上司,77
上周,78
上场,79
上头,39
上学,80
上岗,81
上市,82
上帝,83
上当,84
上报,85
上方,49
上旬,72
上映,86
上期,87
上来,75
上楼,88
上次,89
上流,90
上涨,74
上游,91
上演,92
上火,93
上班,23
上班族,94
上瘾,95
上空,96
上级,77
上网,97
上衣,54
上诉,98
上课,99
上调,74
上车,100
上边,39
上述,101
上门,88
上限,102
上面,39
下,103
下一代,8
下个月,72
下乡,88
下令,104
下决心,105
下功夫,106
下午,23
下去,75
下台,73
下场,107
下坠,108
下属,77
下山,88
下岗,109
下意识,110
下手,111
下旬,72
下期,87
下来,75
下棋,112
下楼,88
下次,113
下海,88
下游,91
下班,23
下级,77
下落,108
下课,99
下调,74
下跌,74
下车,100
下载,97
下边,39
下降,74
下雨,114
下雪,114
下面,39
不,115
不一会儿,13
不一定,26
不为人知,116
不久,117
不了了之,118
不予,119
不亚于,120
不亦乐乎,121
不仅,38
不仅仅,38
不以为然,122
不但,38
不便,123
不值,124
不假思索,61
不停,24
不像话,118
不光,38
不免,110
不再,125
不准,126
不利,127
不利于,127
不可思议,128
不可避免,26
不同,41
不同寻常,41
不在乎,129
不堪,130
不够,64
不大,64
不好意思,131
不如,120
不如说,132
不妨,133
不安,134
不定,135
不宜,125
不容,115
不对,136
不少,7
不屑,137
不已,122
不平,134
不幸,138
不得不,110
不得了,136
不得已,2
