token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,1
一代,7
一会儿,8
一体,9
一共,10
一再,11
一切,1
一刹那,12
一动不动,13
一半,1
一卡通,14
一口气,4
一句话,15
一同,16
一向,17
一味,18
一块儿,19
一塌糊涂,20
一声不吭,21
一大早,22
一天到晚,23
一头,24
一如既往,17
一定,25
一家人,26
一帆风顺,27
一带,28
一干二净,20
一年到头,23
一应俱全,29
一度,11
一律,30
一心,31
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,6
一无所知,6
一旦,3
一早,22
一时,12
一晃,12
一样,40
一概,1
一概而论,41
一模一样,40
一次性,42
一毛不拔,6
一流,43
一点儿,44
一生,45
一番,8
一目了然,46
一直,17
一眼,47
一瞬间,12
一筹莫展,6
一系列,1
一线,48
一经,2
一致,40
一般,1
一般来说,49
一行,50
一言一行,5
一言不发,21
一贯,17
一起,16
一路,51
一路上,51
一路平安,27
一路顺风,27
一身,52
一辈子,53
一边,54
一连,11
一连串,1
一道,16
一部分,1
一锅粥,55
一长一短,56
一阵,57
一面,54
一鼓作气,58
一齐,59
丁,60
七,0
七嘴八舌,61
万,0
万一,3
万万,62
万分,63
万古长青,64
万无一失,65
万能,66
丈夫,26
三,0
三明治,55
三番五次,11
三维,67
三角,68
上,39
上下,69
上个月,70
上任,71
上升,72
上午,22
上去,73
上台,74
上司,75
上周,70
上场,76
上头,39
上学,77
上岗,78
上市,79
上帝,80
上当,81
上报,82
上方,48
上旬,70
上映,83
上期,70
上来,73
上楼,73
上次,70
上流,84
上涨,72
上游,85
上演,86
上火,87
上班,73
上班族,84
上瘾,88
上空,89
上级,75
上网,90
上衣,52
上诉,91
上课,92
上调,72
上车,93
上边,39
上述,94
上门,95
上限,96
上面,39
下,97
下一代,7
下个月,70
下乡,98
下令,99
下决心,100
下功夫,101
下午,22
下去,73
下台,71
下场,102
下坠,103
下属,75
下山,73
下岗,104
下意识,105
下手,101
下旬,70
下期,106
下来,73
下棋,107
下楼,73
下次,108
下海,73
下游,85
下班,73
下级,75
下落,109
下课,73
下调,72
下跌,72
下车,93
下载,90
下边,39
下降,72
下雨,110
下雪,110
下面,39
不,111
不一会儿,12
不一定,25
不为人知,112
不久,106
不了了之,20
不予,113
不亚于,114
不亦乐乎,115
不仅,38
不仅仅,38
不以为然,116
不但,38
不便,117
不值,117
不假思索,105
不停,23
不像话,20
不光,38
不免,105
不再,118
不准,30
不利,119
不利于,119
不可思议,120
不可避免,25
不同,40
不同寻常,40
不在乎,121
不堪,122
不够,63
不大,63
不好意思,123
不如,114
不如说,124
不妨,118
不安,125
不定,29
不宜,118
不容,111
不对,126
不少,1
不屑,127
不已,116
不平,128
不幸,102
不得不,105
不得了,20
不得已,2
