token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,1
一代,7
一会儿,8
一体,9
一共,10
一再,11
一切,1
一刹那,12
一动不动,13
一半,1
一卡通,14
一口气,4
一句话,15
一同,16
一向,17
一味,18
一块儿,8
一塌糊涂,19
一声不吭,13
一大早,20
一天到晚,21
一头,22
一如既往,17
一定,23
一家人,24
一帆风顺,25
一带,26
一干二净,19
一年到头,21
一应俱全,27
一度,11
一律,28
一心,29
一心一意,30
一成不变,31
一手,32
一技之长,33
一把手,34
一揽子,35
一方面,36
一旁,37
一无所有,6
一无所知,6
一旦,3
一早,20
一时,12
一晃,12
一样,38
一概,1
一概而论,39
一模一样,38
一次性,40
一毛不拔,6
一流,41
一点儿,8
一生,42
一番,43
一目了然,44
一直,17
一眼,45
一瞬间,12
一筹莫展,46
一系列,1
一线,47
一经,2
一致,38
一般,1
一般来说,48
一行,49
一言一行,5
一言不发,13
一贯,17
一起,16
一路,50
一路上,50
一路平安,25
一路顺风,25
一身,51
一辈子,52
一边,53
一连,11
一连串,1
一道,16
一部分,1
一锅粥,54
一长一短,55
一阵,56
一面,53
一鼓作气,57
一齐,58
丁,59
七,0
七嘴八舌,60
万,0
万一,3
万万,61
万分,62
万古长青,25
万无一失,63
万能,64
丈夫,24
三,0
三明治,65
三番五次,11
三维,66
三角,67
上,37
上下,68
上个月,69
上任,70
上升,71
上午,20
上去,72
上台,73
上司,74
上周,69
上场,75
上头,37
上学,76
上岗,77
上市,78
上帝,79
上当,80
上报,81
上方,47
上旬,69
上映,82
上期,69
上来,72
上楼,83
上次,84
上流,85
上涨,71
上游,86
上演,87
上火,88
上班,83
上班族,85
上瘾,89
上空,90
上级,74
上网,91
上衣,51
上诉,92
上课,93
上调,71
上车,94
上边,37
上述,95
上门,96
上限,97
上面,37
下,98
下一代,7
下个月,69
下乡,83
下令,99
下决心,100
下功夫,101
下午,20
下去,72
下台,73
下场,102
下坠,103
下属,74
下山,83
下岗,70
下意识,104
下手,101
下旬,69
下期,105
下来,72
下棋,106
下楼,83
下次,8
下海,83
下游,86
下班,83
下级,74
下落,107
下课,83
下调,71
下跌,71
下车,94
下载,91
下边,37
下降,71
下雨,108
下雪,108
下面,37
不,109
不一会儿,12
不一定,23
不为人知,110
不久,105
不了了之,19
不予,111
不亚于,112
不亦乐乎,113
不仅,114
不仅仅,36
不以为然,115
不但,114
不便,116
不值,117
不假思索,104
不停,21
不像话,19
不光,36
不免,104
不再,118
不准,28
不利,119
不利于,120
不可思议,121
不可避免,23
不同,38
不同寻常,38
不在乎,122
不堪,123
不够,62
不大,62
不好意思,124
不如,112
不如说,125
不妨,118
不安,126
不定,27
不宜,118
不容,109
不对,127
不少,1
不屑,115
不已,128
不平,129
不幸,102
不得不,104
不得了,19
不得已,2
