token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,5
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,16
一大早,24
一天到晚,25
一头,26
一如既往,27
一定,28
一家人,29
一帆风顺,30
一带,31
一干二净,32
一年到头,25
一应俱全,33
一度,34
一律,35
一心,36
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,43
一无所有,7
一无所知,44
一旦,45
一早,24
一时,46
一晃,47
一样,48
一概,2
一概而论,49
一模一样,50
一次性,51
一毛不拔,52
一流,53
一点儿,54
一生,55
一番,56
一目了然,57
一直,58
一眼,16
一瞬间,15
一筹莫展,44
一系列,14
一线,59
一经,2
一致,60
一般,61
一般来说,62
一行,63
一言一行,6
一言不发,16
一贯,21
一起,20
一路,30
一路上,30
一路平安,64
一路顺风,30
一身,11
一辈子,55
一边,42
一连,65
一连串,14
一道,66
一部分,67
一锅粥,68
一长一短,69
一阵,70
一面,42
一鼓作气,5
一齐,71
丁,72
七,1
七嘴八舌,73
万,74
万一,4
万万,75
万分,76
万古长青,77
万无一失,78
万能,79
丈夫,29
三,1
三明治,80
三番五次,13
三维,81
三角,82
上,83
上下,84
上个月,85
上任,86
上升,87
上午,24
上去,88
上台,89
上司,90
上周,91
上场,92
上头,83
上学,93
上岗,94
上市,95
上帝,96
上当,97
上报,98
上方,99
上旬,85
上映,100
上期,101
上来,88
上楼,88
上次,102
上流,103
上涨,87
上游,104
上演,105
上火,106
上班,107
上班族,108
上瘾,109
上空,110
上级,90
上网,111
上衣,112
上诉,113
上课,114
上调,115
上车,116
上边,43
上述,117
上门,118
上限,119
上面,43
下,120
下一代,9
下个月,85
下乡,121
下令,122
下决心,123
下功夫,124
下午,24
下去,88
下台,125
下场,126
下坠,127
下属,90
下山,128
下岗,129
下意识,130
下手,131
下旬,85
下期,101
下来,88
下棋,132
下楼,88
下次,133
下海,128
下游,104
下班,24
下级,90
下落,127
下课,134
下调,115
下跌,87
下车,116
下载,135
下边,43
下降,87
下雨,136
下雪,136
下面,43
不,137
不一会儿,47
不一定,28
不为人知,138
不久,139
不了了之,140
不予,141
不亚于,142
不亦乐乎,143
不仅,144
不仅仅,145
不以为然,146
不但,144
不便,147
不值,148
不假思索,149
不停,25
不像话,23
不光,145
不免,130
不再,150
不准,151
不利,152
不利于,153
不可思议,154
不可避免,155
不同,50
不同寻常,50
不在乎,156
不堪,157
不够,158
不大,159
不好意思,160
不如,142
不如说,161
不妨,162
不安,163
不定,164
