token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,21
一塌糊涂,24
一声不吭,25
一大早,26
一天到晚,27
一头,28
一如既往,29
一定,30
一家人,31
一帆风顺,32
一带,33
一干二净,34
一年到头,27
一应俱全,35
一度,5
一律,14
一心,36
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,43
一无所有,7
一无所知,7
一旦,44
一早,26
一时,45
一晃,46
一样,47
一概,14
一概而论,48
一模一样,49
一次性,50
一毛不拔,51
一流,52
一点儿,53
一生,54
一番,55
一目了然,56
一直,57
一眼,58
一瞬间,15
一筹莫展,59
一系列,41
一线,60
一经,61
一致,62
一般,63
一般来说,64
一行,65
一言一行,6
一言不发,25
一贯,22
一起,21
一路,32
一路上,66
一路平安,32
一路顺风,32
一身,11
一辈子,54
一边,42
一连,67
一连串,41
一道,68
一部分,69
一锅粥,70
一长一短,71
一阵,72
一面,42
一鼓作气,73
一齐,21
丁,74
七,75
七嘴八舌,76
万,77
万一,44
万万,78
万分,79
万古长青,80
万无一失,81
万能,82
丈夫,31
三,75
三明治,83
三番五次,13
三维,84
三角,85
上,86
上下,87
上个月,88
上任,89
上升,90
上午,26
上去,91
上台,92
上司,93
上周,94
上场,95
上头,86
上学,96
上岗,97
上市,98
上帝,99
上当,100
上报,101
上方,102
上旬,88
上映,103
上期,104
上来,91
上楼,96
上次,105
上流,106
上涨,90
上游,107
上演,108
上火,109
上班,96
上班族,110
上瘾,111
上空,112
上级,93
上网,113
上衣,114
上诉,115
上课,116
上调,117
上车,118
上边,43
上述,119
上门,120
上限,121
上面,43
下,122
下一代,9
下个月,88
下乡,123
下令,124
下决心,125
下功夫,126
下午,26
下去,91
下台,127
下场,95
下坠,128
下属,93
下山,129
下岗,130
下意识,3
下手,131
下旬,88
下期,104
下来,91
下棋,132
下楼,96
下次,105
下海,129
下游,107
下班,26
下级,93
下落,133
下课,134
下调,117
下跌,90
下车,118
下载,135
下边,43
下降,90
下雨,136
下雪,136
下面,43
不,137
不一会儿,46
不一定,30
不为人知,138
不久,139
不了了之,140
不予,141
不亚于,142
不亦乐乎,143
不仅,144
不仅仅,144
不以为然,145
不但,144
不便,146
不值,147
不假思索,148
不停,27
不像话,24
不光,144
不免,149
不再,150
不准,151
不利,152
不利于,153
不可思议,154
不可避免,149
不同,49
不同寻常,49
不在乎,155
不堪,156
不够,157
不大,158
不好意思,159
不如,142
不如说,160
不妨,161
不安,162
不定,163
