token,community
〇,0
一,0
一一,0
一下子,1
一不小心,2
一举,3
一举一动,4
一事无成,5
一些,0
一代,6
一会儿,7
一体,8
一共,9
一再,3
一切,0
一刹那,7
一动不动,10
一半,0
一卡通,11
一口气,3
一句话,12
一同,8
一向,2
一味,13
一块儿,8
一塌糊涂,14
一声不吭,15
一大早,10
一天到晚,3
一头,16
一如既往,13
一定,2
一家人,6
一帆风顺,17
一带,18
一干二净,14
一年到头,3
一应俱全,19
一度,3
一律,1
一心,13
一心一意,13
一成不变,5
一手,16
一技之长,20
一把手,21
一揽子,22
一方面,2
一旁,18
一无所有,5
一无所知,5
一旦,2
一早,10
一时,7
一晃,7
一样,8
一概,0
一概而论,23
一模一样,8
一次性,11
一毛不拔,5
一流,24
一点儿,14
一生,6
一番,3
一目了然,14
一直,2
一眼,25
一瞬间,7
一筹莫展,26
一系列,0
一线,18
一经,1
一致,8
一般,0
一般来说,2
一行,27
一言一行,4
一言不发,15
一贯,2
一起,8
一路,18
一路上,28
一路平安,17
一路顺风,17
一身,29
一辈子,3
一边,18
一连,3
一连串,0
一道,8
一部分,0
一锅粥,30
一长一短,16
一阵,31
一面,18
一鼓作气,13
一齐,1
丁,30
七,0
七嘴八舌,15
万,0
万一,2
万万,2
万分,26
万古长青,32
万无一失,33
万能,34
丈夫,6
三,0
三明治,30
三番五次,3
三维,35
三角,36
上,18
上下,18
上个月,7
上任,21
上升,37
上午,10
上去,38
上台,21
上司,6
上周,7
上场,39
上头,18
上学,40
上岗,21
上市,41
上帝,42
上当,43
上报,44
上方,18
上旬,7
上映,45
上期,7
上来,38
上楼,38
上次,7
上流,46
上涨,37
上游,34
上演,47
上火,30
上班,10
上班族,46
上瘾,48
上空,49
上级,21
上网,35
上衣,29
上诉,44
上课,40
上调,37
上车,28
上边,18
上述,0
上门,38
上限,23
上面,18
下,18
下一代,6
下个月,7
下乡,38
下令,1
下决心,13
下功夫,13
下午,10
下去,38
下台,21
下场,4
下坠,48
下属,21
下山,38
下岗,21
下意识,1
下手,13
下旬,7
下期,7
下来,38
下棋,50
下楼,38
下次,7
下海,38
下游,34
下班,10
下级,21
下落,51
下课,10
下调,37
下跌,37
下车,28
下载,52
下边,18
下降,37
下雨,53
下雪,53
下面,18
不,1
不一会儿,7
不一定,2
不为人知,19
不久,7
不了了之,14
不予,1
不亚于,8
不亦乐乎,17
不仅,2
不仅仅,2
不以为然,26
不但,2
不便,54
不值,41
不假思索,1
不停,3
不像话,14
不光,2
不免,2
不再,1
不准,1
不利,51
不利于,55
不可思议,19
不可避免,2
不同,8
不同寻常,19
不在乎,15
不堪,26
不够,56
不大,56
不好意思,14
不如,8
不如说,2
不妨,1
不安,26
不定,3
不宜,1
不容,1
不对,14
不少,0
不屑,15
不已,26
不平,26
不幸,26
不得不,1
不得了,14
不得已,1
