token,community
〇,0
一,1
一一,2
一下子,3
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,7
一代,8
一会儿,3
一体,9
一共,10
一再,11
一切,7
一刹那,3
一动不动,12
一半,13
一卡通,14
一口气,4
一句话,15
一同,16
一向,17
一味,18
一块儿,19
一塌糊涂,20
一声不吭,12
一大早,21
一天到晚,22
一头,9
一如既往,17
一定,23
一家人,19
一帆风顺,24
一带,25
一干二净,26
一年到头,22
一应俱全,27
一度,11
一律,2
一心,28
一心一意,29
一成不变,18
一手,30
一技之长,31
一把手,32
一揽子,33
一方面,34
一旁,35
一无所有,6
一无所知,6
一旦,36
一早,21
一时,37
一晃,3
一样,38
一概,2
一概而论,39
一模一样,38
一次性,40
一毛不拔,41
一流,42
一点儿,43
一生,44
一番,45
一目了然,26
一直,17
一眼,12
一瞬间,3
一筹莫展,6
一系列,7
一线,30
一经,46
一致,47
一般,2
一般来说,34
一行,48
一言一行,5
一言不发,12
一贯,17
一起,16
一路,49
一路上,50
一路平安,51
一路顺风,51
一身,9
一辈子,44
一边,35
一连,4
一连串,7
一道,16
一部分,7
一锅粥,52
一长一短,53
一阵,54
一面,55
一鼓作气,4
一齐,3
丁,56
七,1
七嘴八舌,12
万,57
万一,57
万万,57
万分,58
万古长青,59
万无一失,60
万能,61
丈夫,19
三,1
三明治,62
三番五次,11
三维,63
三角,64
上,35
上下,65
上个月,66
上任,67
上升,68
上午,21
上去,69
上台,67
上司,19
上周,66
上场,70
上头,35
上学,71
上岗,67
上市,72
上帝,73
上当,74
上报,75
上方,35
上旬,66
上映,76
上期,77
上来,69
上楼,78
上次,66
上流,79
上涨,68
上游,80
上演,81
上火,62
上班,78
上班族,82
上瘾,83
上空,84
上级,85
上网,86
上衣,87
上诉,88
上课,71
上调,68
上车,89
上边,35
上述,90
上门,78
上限,91
上面,35
下,92
下一代,8
下个月,66
下乡,93
下令,94
下决心,28
下功夫,95
下午,21
下去,69
下台,67
下场,96
下坠,97
下属,98
下山,78
下岗,93
下意识,12
下手,95
下旬,66
下期,77
下来,69
下棋,78
下楼,78
下次,99
下海,93
下游,80
下班,78
下级,85
下落,100
下课,78
下调,68
下跌,68
下车,89
下载,101
下边,35
下降,68
下雨,102
下雪,102
下面,35
不,99
不一会儿,3
不一定,36
不为人知,103
不久,104
不了了之,105
不予,106
不亚于,107
不亦乐乎,108
不仅,36
不仅仅,36
不以为然,12
不但,36
不便,109
不值,20
不假思索,3
不停,22
不像话,20
不光,36
不免,22
不再,99
不准,99
不利,110
不利于,111
不可思议,112
不可避免,22
不同,38
不同寻常,112
不在乎,113
不堪,114
不够,58
不大,58
不好意思,12
不如,99
不如说,36
不妨,99
不安,12
不定,115
