token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,23
一大早,24
一天到晚,25
一头,26
一如既往,20
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,22
一年到头,25
一应俱全,31
一度,32
一律,33
一心,34
一心一意,34
一成不变,35
一手,36
一技之长,37
一把手,38
一揽子,39
一方面,40
一旁,41
一无所有,7
一无所知,42
一旦,43
一早,24
一时,44
一晃,45
一样,46
一概,14
一概而论,47
一模一样,48
一次性,49
一毛不拔,50
一流,51
一点儿,52
一生,53
一番,54
一目了然,55
一直,56
一眼,57
一瞬间,3
一筹莫展,58
一系列,59
一线,60
一经,61
一致,62
一般,63
一般来说,63
一行,64
一言一行,6
一言不发,23
一贯,20
一起,19
一路,30
一路上,65
一路平安,66
一路顺风,29
一身,67
一辈子,68
一边,69
一连,70
一连串,59
一道,71
一部分,72
一锅粥,73
一长一短,74
一阵,75
一面,69
一鼓作气,5
一齐,19
丁,76
七,77
七嘴八舌,78
万,79
万一,43
万万,80
万分,81
万古长青,82
万无一失,83
万能,84
丈夫,85
三,77
三明治,86
三番五次,13
三维,87
三角,88
上,89
上下,90
上个月,91
上任,92
上升,93
上午,24
上去,94
上台,95
上司,96
上周,91
上场,97
上头,98
上学,99
上岗,100
上市,101
上帝,98
上当,102
上报,103
上方,104
上旬,91
上映,105
上期,106
上来,94
上楼,107
上次,108
上流,109
上涨,93
上游,110
上演,111
上火,112
上班,107
上班族,113
上瘾,114
上空,115
上级,96
上网,116
上衣,117
上诉,118
上课,119
上调,120
上车,107
上边,121
上述,122
上门,123
上限,124
上面,121
下,125
下一代,9
下个月,91
下乡,126
下令,127
下决心,128
下功夫,129
下午,24
下去,94
下台,95
下场,130
下坠,131
下属,132
下山,107
下岗,133
下意识,134
下手,135
下旬,91
下期,106
下来,94
下棋,136
下楼,107
下次,108
下海,137
下游,110
下班,107
下级,96
下落,131
下课,138
下调,120
下跌,93
下车,107
下载,139
下边,121
下降,93
下雨,140
下雪,140
下面,121
不,141
不一会儿,142
不一定,27
不为人知,143
不久,144
不了了之,145
不予,33
不亚于,146
不亦乐乎,147
不仅,148
不仅仅,148
不以为然,149
不但,148
不便,150
不值,151
不假思索,152
不停,153
不像话,154
不光,148
不免,155
不再,156
不准,157
不利,158
不利于,159
不可思议,160
不可避免,161
不同,48
不同寻常,162
不在乎,163
不堪,164
不够,141
不大,165
不好意思,166
不如,167
不如说,167
不妨,167
不安,168
不定,169
