token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,21
一塌糊涂,24
一声不吭,16
一大早,25
一天到晚,26
一头,27
一如既往,28
一定,29
一家人,30
一帆风顺,31
一带,32
一干二净,24
一年到头,26
一应俱全,33
一度,34
一律,35
一心,36
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,43
一无所有,7
一无所知,7
一旦,44
一早,25
一时,45
一晃,46
一样,47
一概,35
一概而论,48
一模一样,47
一次性,49
一毛不拔,50
一流,51
一点儿,52
一生,53
一番,54
一目了然,55
一直,56
一眼,57
一瞬间,15
一筹莫展,58
一系列,59
一线,60
一经,44
一致,61
一般,62
一般来说,63
一行,64
一言一行,6
一言不发,16
一贯,56
一起,21
一路,32
一路上,65
一路平安,31
一路顺风,31
一身,66
一辈子,53
一边,43
一连,67
一连串,59
一道,68
一部分,69
一锅粥,70
一长一短,71
一阵,72
一面,73
一鼓作气,74
一齐,21
丁,75
七,76
七嘴八舌,77
万,78
万一,79
万万,80
万分,81
万古长青,82
万无一失,83
万能,84
丈夫,85
三,76
三明治,86
三番五次,13
三维,87
三角,88
上,89
上下,90
上个月,91
上任,92
上升,93
上午,25
上去,94
上台,95
上司,96
上周,97
上场,98
上头,94
上学,99
上岗,100
上市,101
上帝,102
上当,103
上报,104
上方,105
上旬,106
上映,107
上期,108
上来,94
上楼,109
上次,110
上流,111
上涨,112
上游,113
上演,114
上火,115
上班,116
上班族,117
上瘾,118
上空,119
上级,96
上网,120
上衣,121
上诉,122
上课,123
上调,124
上车,109
上边,125
上述,126
上门,127
上限,128
上面,125
下,129
下一代,9
下个月,130
下乡,131
下令,132
下决心,133
下功夫,134
下午,25
下去,135
下台,95
下场,136
下坠,137
下属,138
下山,139
下岗,140
下意识,141
下手,142
下旬,106
下期,108
下来,135
下棋,143
下楼,109
下次,130
下海,139
下游,113
下班,116
下级,96
下落,137
下课,123
下调,124
下跌,112
下车,109
下载,144
下边,125
下降,145
下雨,146
下雪,146
下面,125
不,147
不一会儿,10
不一定,148
不为人知,149
不久,150
不了了之,151
不予,152
不亚于,153
不亦乐乎,154
不仅,155
不仅仅,155
不以为然,156
不但,155
不便,157
不值,158
不假思索,159
不停,160
不像话,161
不光,155
不免,162
不再,163
不准,164
不利,165
不利于,166
不可思议,167
不可避免,162
不同,168
不同寻常,169
不在乎,170
不堪,171
不够,172
不大,173
不好意思,174
不如,153
不如说,175
不妨,176
不安,177
不定,178
