token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,21
一塌糊涂,24
一声不吭,16
一大早,25
一天到晚,26
一头,27
一如既往,28
一定,29
一家人,30
一帆风顺,31
一带,32
一干二净,24
一年到头,33
一应俱全,34
一度,35
一律,36
一心,37
一心一意,37
一成不变,38
一手,39
一技之长,40
一把手,41
一揽子,42
一方面,43
一旁,44
一无所有,7
一无所知,45
一旦,46
一早,25
一时,47
一晃,48
一样,49
一概,36
一概而论,50
一模一样,51
一次性,52
一毛不拔,53
一流,54
一点儿,55
一生,56
一番,57
一目了然,58
一直,22
一眼,59
一瞬间,15
一筹莫展,60
一系列,61
一线,62
一经,63
一致,64
一般,65
一般来说,65
一行,66
一言一行,6
一言不发,16
一贯,22
一起,21
一路,32
一路上,67
一路平安,31
一路顺风,31
一身,68
一辈子,56
一边,69
一连,70
一连串,71
一道,72
一部分,73
一锅粥,74
一长一短,75
一阵,76
一面,69
一鼓作气,5
一齐,21
丁,77
七,78
七嘴八舌,79
万,80
万一,46
万万,81
万分,82
万古长青,83
万无一失,84
万能,85
丈夫,86
三,78
三明治,87
三番五次,13
三维,88
三角,89
上,90
上下,91
上个月,92
上任,93
上升,94
上午,25
上去,95
上台,96
上司,97
上周,92
上场,98
上头,99
上学,100
上岗,101
上市,102
上帝,103
上当,104
上报,105
上方,106
上旬,107
上映,108
上期,109
上来,110
上楼,111
上次,92
上流,112
上涨,113
上游,114
上演,115
上火,116
上班,117
上班族,118
上瘾,119
上空,120
上级,97
上网,121
上衣,122
上诉,123
上课,124
上调,125
上车,126
上边,99
上述,127
上门,128
上限,129
上面,99
下,130
下一代,9
下个月,131
下乡,132
下令,133
下决心,134
下功夫,135
下午,25
下去,95
下台,96
下场,136
下坠,137
下属,138
下山,139
下岗,140
下意识,141
下手,142
下旬,107
下期,109
下来,110
下棋,143
下楼,111
下次,131
下海,139
下游,114
下班,117
下级,97
下落,137
下课,144
下调,125
下跌,113
下车,126
下载,145
下边,99
下降,94
下雨,146
下雪,146
下面,99
不,147
不一会儿,10
不一定,148
不为人知,149
不久,150
不了了之,151
不予,152
不亚于,153
不亦乐乎,154
不仅,155
不仅仅,155
不以为然,156
不但,157
不便,158
不值,159
不假思索,160
不停,161
不像话,162
不光,155
不免,163
不再,164
不准,165
不利,166
不利于,167
不可思议,168
不可避免,163
不同,169
不同寻常,170
不在乎,171
不堪,172
不够,173
不大,174
不好意思,175
不如,153
不如说,176
不妨,177
不安,178
不定,179
