token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,7
一代,8
一会儿,9
一体,10
一共,11
一再,4
一切,1
一刹那,2
一动不动,12
一半,7
一卡通,13
一口气,14
一句话,15
一同,10
一向,16
一味,17
一块儿,10
一塌糊涂,18
一声不吭,12
一大早,19
一天到晚,20
一头,21
一如既往,16
一定,22
一家人,23
一帆风顺,24
一带,25
一干二净,18
一年到头,20
一应俱全,26
一度,4
一律,1
一心,27
一心一意,27
一成不变,17
一手,21
一技之长,28
一把手,29
一揽子,30
一方面,31
一旁,32
一无所有,6
一无所知,6
一旦,33
一早,19
一时,2
一晃,34
一样,35
一概,1
一概而论,36
一模一样,37
一次性,38
一毛不拔,39
一流,40
一点儿,41
一生,42
一番,43
一目了然,44
一直,16
一眼,45
一瞬间,2
一筹莫展,46
一系列,7
一线,47
一经,48
一致,37
一般,7
一般来说,31
一行,49
一言一行,5
一言不发,12
一贯,16
一起,10
一路,25
一路上,50
一路平安,24
一路顺风,24
一身,51
一辈子,42
一边,32
一连,4
一连串,7
一道,10
一部分,7
一锅粥,18
一长一短,52
一阵,53
一面,54
一鼓作气,55
一齐,10
丁,56
七,0
七嘴八舌,14
万,0
万一,33
万万,57
万分,58
万古长青,59
万无一失,60
万能,61
丈夫,62
三,0
三明治,63
三番五次,4
三维,64
三角,65
上,32
上下,66
上个月,67
上任,68
上升,69
上午,19
上去,70
上台,71
上司,72
上周,67
上场,71
上头,32
上学,73
上岗,74
上市,75
上帝,76
上当,77
上报,78
上方,32
上旬,67
上映,79
上期,67
上来,70
上楼,70
上次,67
上流,80
上涨,69
上游,81
上演,82
上火,83
上班,84
上班族,84
上瘾,85
上空,86
上级,72
上网,87
上衣,51
上诉,88
上课,89
上调,69
上车,90
上边,32
上述,66
上门,70
上限,91
上面,32
下,92
下一代,8
下个月,67
下乡,70
下令,93
下决心,94
下功夫,95
下午,19
下去,70
下台,68
下场,71
下坠,96
下属,72
下山,70
下岗,68
下意识,2
下手,97
下旬,67
下期,67
下来,70
下棋,98
下楼,70
下次,67
下海,70
下游,81
下班,84
下级,72
下落,96
下课,84
下调,69
下跌,69
下车,90
下载,87
下边,32
下降,69
下雨,99
下雪,99
下面,32
不,100
不一会儿,101
不一定,22
不为人知,102
不久,101
不了了之,6
不予,103
不亚于,41
不亦乐乎,104
不仅,105
不仅仅,105
不以为然,106
不但,16
不便,107
不值,108
不假思索,48
不停,20
不像话,18
不光,105
不免,22
不再,100
不准,109
不利,107
不利于,107
不可思议,106
不可避免,22
不同,37
不同寻常,110
不在乎,111
不堪,112
不够,113
不大,58
不好意思,114
不如,41
不如说,105
不妨,115
不安,46
不定,46
不宜,115
不容,100
不对,18
不少,7
不屑,108
不已,106
不平,108
不幸,112
不得不,48
不得了,18
不得已,48
