token,community
〇,0
一,0
一一,1
一下子,1
一不小心,1
一举,1
一举一动,2
一事无成,3
一些,0
一代,4
一会儿,1
一体,5
一共,1
一再,1
一切,0
一刹那,1
一动不动,3
一半,0
一卡通,6
一口气,3
一句话,7
一同,5
一向,1
一味,1
一块儿,5
一塌糊涂,3
一声不吭,3
一大早,8
一天到晚,1
一头,9
一如既往,1
一定,1
一家人,4
一帆风顺,10
一带,11
一干二净,3
一年到头,8
一应俱全,10
一度,1
一律,1
一心,12
一心一意,12
一成不变,10
一手,9
一技之长,12
一把手,13
一揽子,14
一方面,1
一旁,11
一无所有,3
一无所知,3
一旦,1
一早,8
一时,1
一晃,1
一样,5
一概,1
一概而论,15
一模一样,5
一次性,6
一毛不拔,3
一流,10
一点儿,1
一生,12
一番,0
一目了然,10
一直,1
一眼,3
一瞬间,1
一筹莫展,3
一系列,0
一线,11
一经,1
一致,5
一般,1
一般来说,1
一行,16
一言一行,12
一言不发,3
一贯,1
一起,5
一路,17
一路上,17
一路平安,16
一路顺风,16
一身,18
一辈子,12
一边,11
一连,1
一连串,0
一道,0
一部分,0
一锅粥,19
一长一短,9
一阵,20
一面,11
一鼓作气,12
一齐,1
丁,19
七,0
七嘴八舌,3
万,0
万一,1
万万,1
万分,3
万古长青,16
万无一失,10
万能,10
丈夫,4
三,0
三明治,19
三番五次,1
三维,21
三角,9
上,11
上下,11
上个月,8
上任,13
上升,22
上午,8
上去,8
上台,13
上司,4
上周,8
上场,23
上头,11
上学,13
上岗,13
上市,6
上帝,4
上当,3
上报,14
上方,11
上旬,8
上映,7
上期,8
上来,8
上楼,8
上次,8
上流,4
上涨,22
上游,20
上演,15
上火,19
上班,8
上班族,4
上瘾,3
上空,11
上级,13
上网,20
上衣,18
上诉,24
上课,13
上调,22
上车,17
上边,11
上述,0
上门,16
上限,22
上面,11
下,11
下一代,4
下个月,8
下乡,13
下令,24
下决心,12
下功夫,12
下午,8
下去,8
下台,13
下场,2
下坠,9
下属,13
下山,17
下岗,13
下意识,1
下手,23
下旬,8
下期,8
下来,8
下棋,23
下楼,8
下次,1
下海,13
下游,20
下班,8
下级,13
下落,2
下课,8
下调,22
下跌,22
下车,17
下载,7
下边,11
下降,22
下雨,21
下雪,21
下面,11
不,1
不一会儿,1
不一定,1
不为人知,10
不久,8
不了了之,3
不予,24
不亚于,5
不亦乐乎,3
不仅,1
不仅仅,1
不以为然,3
不但,1
不便,3
不值,3
不假思索,1
不停,1
不像话,1
不光,1
不免,1
不再,1
不准,1
不利,2
不利于,25
不可思议,3
不可避免,1
不同,5
不同寻常,10
不在乎,3
不堪,3
不够,1
不大,1
不好意思,3
不如,1
不如说,1
不妨,1
不安,3
不定,3
不宜,1
不容,1
不对,1
不少,0
不屑,3
不已,3
不平,3
不幸,3
不得不,1
不得了,1
不得已,1
