token,community
〇,0
一,0
一一,1
一下子,1
一不小心,2
一举,1
一举一动,3
一事无成,4
一些,0
一代,5
一会儿,2
一体,6
一共,7
一再,1
一切,0
一刹那,1
一动不动,4
一半,0
一卡通,8
一口气,1
一句话,9
一同,1
一向,2
一味,2
一块儿,10
一塌糊涂,4
一声不吭,4
一大早,11
一天到晚,2
一头,12
一如既往,2
一定,2
一家人,5
一帆风顺,13
一带,14
一干二净,4
一年到头,11
一应俱全,0
一度,1
一律,2
一心,1
一心一意,1
一成不变,4
一手,12
一技之长,15
一把手,16
一揽子,17
一方面,2
一旁,10
一无所有,4
一无所知,4
一旦,2
一早,11
一时,2
一晃,1
一样,2
一概,2
一概而论,6
一模一样,6
一次性,8
一毛不拔,4
一流,18
一点儿,2
一生,5
一番,0
一目了然,19
一直,2
一眼,4
一瞬间,1
一筹莫展,4
一系列,0
一线,10
一经,1
一致,6
一般,2
一般来说,2
一行,13
一言一行,19
一言不发,4
一贯,2
一起,10
一路,20
一路上,20
一路平安,13
一路顺风,13
一身,21
一辈子,2
一边,10
一连,1
一连串,0
一道,0
一部分,0
一锅粥,22
一长一短,21
一阵,1
一面,10
一鼓作气,1
一齐,1
丁,22
七,0
七嘴八舌,4
万,0
万一,2
万万,2
万分,4
万古长青,13
万无一失,19
万能,18
丈夫,5
三,0
三明治,22
三番五次,1
三维,7
三角,7
上,10
上下,10
上个月,11
上任,16
上升,23
上午,11
上去,10
上台,16
上司,5
上周,11
上场,24
上头,10
上学,15
上岗,16
上市,8
上帝,14
上当,25
上报,16
上方,10
上旬,11
上映,9
上期,11
上来,10
上楼,10
上次,11
上流,5
上涨,23
上游,26
上演,27
上火,22
上班,11
上班族,5
上瘾,4
上空,14
上级,16
上网,26
上衣,21
上诉,16
上课,15
上调,23
上车,20
上边,10
上述,0
上门,1
上限,7
上面,10
下,10
下一代,5
下个月,11
下乡,15
下令,1
下决心,1
下功夫,19
下午,11
下去,10
下台,16
下场,3
下坠,12
下属,16
下山,20
下岗,16
下意识,1
下手,1
下旬,11
下期,11
下来,10
下棋,24
下楼,10
下次,2
下海,10
下游,26
下班,11
下级,16
下落,3
下课,11
下调,23
下跌,23
下车,20
下载,9
下边,10
下降,23
下雨,14
下雪,14
下面,10
不,2
不一会儿,1
不一定,2
不为人知,19
不久,11
不了了之,4
不予,16
不亚于,6
不亦乐乎,4
不仅,2
不仅仅,2
不以为然,4
不但,2
不便,4
不值,4
不假思索,1
不停,1
不像话,2
不光,2
不免,2
不再,2
不准,2
不利,4
不利于,2
不可思议,4
不可避免,2
不同,6
不同寻常,19
不在乎,4
不堪,4
不够,2
不大,2
不好意思,4
不如,2
不如说,2
不妨,2
不安,4
不定,4
不宜,2
不容,2
不对,2
不少,0
不屑,4
不已,4
不平,4
不幸,4
不得不,1
不得了,2
不得已,1
