token,community
〇,0
一,0
一一,1
一下子,1
一不小心,2
一举,1
一举一动,3
一事无成,4
一些,0
一代,5
一会儿,1
一体,6
一共,7
一再,1
一切,0
一刹那,1
一动不动,8
一半,0
一卡通,9
一口气,1
一句话,10
一同,1
一向,2
一味,1
一块儿,1
一塌糊涂,4
一声不吭,4
一大早,11
一天到晚,2
一头,8
一如既往,2
一定,2
一家人,5
一帆风顺,12
一带,13
一干二净,4
一年到头,2
一应俱全,12
一度,1
一律,2
一心,1
一心一意,1
一成不变,12
一手,8
一技之长,3
一把手,14
一揽子,15
一方面,2
一旁,13
一无所有,4
一无所知,4
一旦,2
一早,11
一时,2
一晃,1
一样,2
一概,2
一概而论,16
一模一样,6
一次性,9
一毛不拔,4
一流,12
一点儿,2
一生,5
一番,0
一目了然,12
一直,2
一眼,1
一瞬间,1
一筹莫展,4
一系列,0
一线,13
一经,2
一致,6
一般,2
一般来说,2
一行,17
一言一行,3
一言不发,4
一贯,2
一起,1
一路,18
一路上,18
一路平安,17
一路顺风,17
一身,19
一辈子,2
一边,1
一连,1
一连串,0
一道,1
一部分,0
一锅粥,20
一长一短,8
一阵,1
一面,1
一鼓作气,1
一齐,1
丁,20
七,0
七嘴八舌,4
万,7
万一,2
万万,2
万分,4
万古长青,17
万无一失,12
万能,12
丈夫,5
三,0
三明治,20
三番五次,1
三维,21
三角,8
上,13
上下,13
上个月,11
上任,14
上升,22
上午,11
上去,17
上台,14
上司,5
上周,11
上场,23
上头,13
上学,10
上岗,14
上市,9
上帝,5
上当,4
上报,16
上方,13
上旬,11
上映,24
上期,11
上来,17
上楼,17
上次,2
上流,5
上涨,22
上游,9
上演,15
上火,20
上班,11
上班族,5
上瘾,4
上空,13
上级,14
上网,21
上衣,19
上诉,25
上课,10
上调,22
上车,18
上边,13
上述,0
上门,17
上限,22
上面,13
下,13
下一代,5
下个月,11
下乡,17
下令,1
下决心,1
下功夫,3
下午,11
下去,17
下台,14
下场,3
下坠,8
下属,14
下山,18
下岗,14
下意识,1
下手,1
下旬,11
下期,11
下来,17
下棋,23
下楼,17
下次,2
下海,17
下游,9
下班,11
下级,14
下落,22
下课,11
下调,22
下跌,22
下车,18
下载,24
下边,13
下降,22
下雨,11
下雪,11
下面,13
不,2
不一会儿,1
不一定,2
不为人知,12
不久,2
不了了之,4
不予,25
不亚于,6
不亦乐乎,4
不仅,2
不仅仅,2
不以为然,4
不但,2
不便,4
不值,4
不假思索,1
不停,1
不像话,4
不光,2
不免,2
不再,2
不准,2
不利,4
不利于,26
不可思议,4
不可避免,2
不同,6
不同寻常,12
不在乎,4
不堪,4
不够,22
不大,22
不好意思,4
不如,2
不如说,2
不妨,2
不安,4
不定,4
不宜,2
不容,2
不对,2
不少,0
不屑,4
不已,4
不平,4
不幸,4
不得不,1
不得了,2
不得已,1
