token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,2
一代,8
一会儿,9
一体,10
一共,1
一再,5
一切,2
一刹那,3
一动不动,11
一半,2
一卡通,12
一口气,6
一句话,0
一同,13
一向,14
一味,15
一块儿,13
一塌糊涂,9
一声不吭,11
一大早,16
一天到晚,2
一头,11
一如既往,14
一定,3
一家人,8
一帆风顺,17
一带,18
一干二净,9
一年到头,2
一应俱全,19
一度,5
一律,2
一心,20
一心一意,20
一成不变,15
一手,11
一技之长,21
一把手,22
一揽子,23
一方面,24
一旁,18
一无所有,7
一无所知,7
一旦,24
一早,16
一时,3
一晃,25
一样,10
一概,2
一概而论,26
一模一样,10
一次性,27
一毛不拔,28
一流,29
一点儿,2
一生,30
一番,9
一目了然,4
一直,14
一眼,31
一瞬间,3
一筹莫展,7
一系列,2
一线,18
一经,32
一致,10
一般,2
一般来说,24
一行,33
一言一行,6
一言不发,11
一贯,14
一起,13
一路,17
一路上,34
一路平安,17
一路顺风,17
一身,35
一辈子,14
一边,18
一连,5
一连串,2
一道,13
一部分,2
一锅粥,36
一长一短,37
一阵,38
一面,18
一鼓作气,39
一齐,13
丁,40
七,1
七嘴八舌,6
万,1
万一,24
万万,41
万分,42
万古长青,43
万无一失,44
万能,45
丈夫,8
三,1
三明治,36
三番五次,5
三维,46
三角,47
上,18
上下,18
上个月,48
上任,49
上升,19
上午,16
上去,50
上台,49
上司,8
上周,48
上场,51
上头,18
上学,52
上岗,49
上市,53
上帝,43
上当,54
上报,26
上方,18
上旬,48
上映,55
上期,48
上来,50
上楼,50
上次,48
上流,56
上涨,19
上游,57
上演,58
上火,36
上班,16
上班族,8
上瘾,59
上空,60
上级,22
上网,61
上衣,35
上诉,62
上课,52
上调,19
上车,50
上边,18
上述,18
上门,38
上限,63
上面,18
下,18
下一代,8
下个月,48
下乡,50
下令,32
下决心,20
下功夫,20
下午,16
下去,50
下台,49
下场,51
下坠,64
下属,22
下山,50
下岗,49
下意识,3
下手,13
下旬,48
下期,48
下来,50
下棋,65
下楼,50
下次,66
下海,50
下游,57
下班,16
下级,22
下落,64
下课,16
下调,19
下跌,19
下车,50
下载,61
下边,18
下降,19
下雨,67
下雪,67
下面,18
不,14
不一会儿,48
不一定,3
不为人知,23
不久,48
不了了之,9
不予,63
不亚于,68
不亦乐乎,69
不仅,24
不仅仅,24
不以为然,7
不但,24
不便,70
不值,39
不假思索,3
不停,2
不像话,9
不光,24
不免,3
不再,3
不准,14
不利,3
不利于,3
不可思议,7
不可避免,3
不同,10
不同寻常,4
不在乎,71
不堪,7
不够,42
不大,42
不好意思,7
不如,68
不如说,24
不妨,3
不安,7
不定,7
