token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,14
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,23
一大早,24
一天到晚,25
一头,26
一如既往,27
一定,28
一家人,29
一帆风顺,30
一带,31
一干二净,32
一年到头,25
一应俱全,11
一度,33
一律,2
一心,34
一心一意,34
一成不变,35
一手,36
一技之长,37
一把手,38
一揽子,39
一方面,40
一旁,41
一无所有,7
一无所知,7
一旦,42
一早,24
一时,43
一晃,44
一样,45
一概,2
一概而论,46
一模一样,45
一次性,47
一毛不拔,7
一流,48
一点儿,49
一生,50
一番,10
一目了然,51
一直,52
一眼,53
一瞬间,14
一筹莫展,54
一系列,8
一线,55
一经,56
一致,57
一般,16
一般来说,58
一行,59
一言一行,6
一言不发,23
一贯,20
一起,19
一路,30
一路上,60
一路平安,30
一路顺风,30
一身,61
一辈子,50
一边,10
一连,5
一连串,8
一道,19
一部分,16
一锅粥,62
一长一短,63
一阵,10
一面,64
一鼓作气,5
一齐,19
丁,65
七,1
七嘴八舌,66
万,67
万一,4
万万,68
万分,69
万古长青,70
万无一失,71
万能,72
丈夫,73
三,1
三明治,74
三番五次,13
三维,75
三角,76
上,77
上下,78
上个月,79
上任,80
上升,81
上午,24
上去,82
上台,83
上司,84
上周,79
上场,85
上头,77
上学,86
上岗,87
上市,88
上帝,89
上当,90
上报,91
上方,55
上旬,92
上映,93
上期,94
上来,82
上楼,95
上次,79
上流,96
上涨,81
上游,97
上演,98
上火,99
上班,100
上班族,101
上瘾,102
上空,103
上级,84
上网,104
上衣,105
上诉,106
上课,107
上调,81
上车,108
上边,77
上述,109
上门,87
上限,110
上面,77
下,111
下一代,9
下个月,92
下乡,95
下令,112
下决心,113
下功夫,113
下午,24
下去,82
下台,114
下场,85
下坠,115
下属,84
下山,95
下岗,116
下意识,117
下手,113
下旬,92
下期,118
下来,82
下棋,119
下楼,95
下次,118
下海,95
下游,97
下班,100
下级,84
下落,115
下课,120
下调,81
下跌,81
下车,108
下载,104
下边,77
下降,81
下雨,121
下雪,121
下面,77
不,122
不一会儿,44
不一定,28
不为人知,123
不久,124
不了了之,125
不予,126
不亚于,127
不亦乐乎,128
不仅,40
不仅仅,40
不以为然,129
不但,40
不便,130
不值,131
不假思索,132
不停,25
不像话,22
不光,40
不免,133
不再,134
不准,135
不利,136
不利于,136
不可思议,137
不可避免,138
不同,45
不同寻常,139
不在乎,140
不堪,141
不够,122
不大,122
不好意思,142
不如,143
不如说,144
不妨,145
不安,146
不定,147
