token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,1
一代,7
一会儿,8
一体,9
一共,10
一再,4
一切,1
一刹那,2
一动不动,11
一半,12
一卡通,13
一口气,14
一句话,15
一同,16
一向,17
一味,18
一块儿,16
一塌糊涂,19
一声不吭,11
一大早,20
一天到晚,21
一头,22
一如既往,17
一定,23
一家人,24
一帆风顺,25
一带,26
一干二净,19
一年到头,21
一应俱全,27
一度,4
一律,28
一心,29
一心一意,29
一成不变,30
一手,31
一技之长,32
一把手,33
一揽子,5
一方面,34
一旁,35
一无所有,6
一无所知,6
一旦,36
一早,20
一时,2
一晃,37
一样,38
一概,1
一概而论,39
一模一样,38
一次性,40
一毛不拔,41
一流,42
一点儿,43
一生,44
一番,8
一目了然,45
一直,17
一眼,46
一瞬间,2
一筹莫展,47
一系列,1
一线,48
一经,49
一致,38
一般,1
一般来说,50
一行,51
一言一行,5
一言不发,11
一贯,17
一起,16
一路,52
一路上,53
一路平安,52
一路顺风,52
一身,54
一辈子,55
一边,35
一连,4
一连串,1
一道,16
一部分,1
一锅粥,56
一长一短,57
一阵,58
一面,59
一鼓作气,60
一齐,16
丁,61
七,0
七嘴八舌,14
万,0
万一,36
万万,62
万分,63
万古长青,64
万无一失,65
万能,66
丈夫,67
三,0
三明治,68
三番五次,4
三维,69
三角,69
上,35
上下,70
上个月,71
上任,72
上升,73
上午,20
上去,74
上台,75
上司,76
上周,71
上场,77
上头,35
上学,78
上岗,79
上市,80
上帝,81
上当,82
上报,83
上方,84
上旬,71
上映,85
上期,71
上来,74
上楼,74
上次,71
上流,86
上涨,73
上游,87
上演,88
上火,89
上班,90
上班族,90
上瘾,91
上空,92
上级,76
上网,93
上衣,54
上诉,94
上课,95
上调,73
上车,74
上边,35
上述,96
上门,97
上限,98
上面,35
下,70
下一代,7
下个月,71
下乡,99
下令,100
下决心,101
下功夫,102
下午,20
下去,74
下台,72
下场,103
下坠,104
下属,76
下山,74
下岗,72
下意识,105
下手,102
下旬,71
下期,71
下来,74
下棋,106
下楼,74
下次,107
下海,74
下游,87
下班,90
下级,76
下落,104
下课,90
下调,73
下跌,73
下车,74
下载,93
下边,35
下降,73
下雨,108
下雪,108
下面,35
不,109
不一会儿,110
不一定,23
不为人知,111
不久,112
不了了之,74
不予,113
不亚于,114
不亦乐乎,115
不仅,116
不仅仅,116
不以为然,117
不但,118
不便,119
不值,120
不假思索,105
不停,21
不像话,19
不光,116
不免,105
不再,121
不准,28
不利,122
不利于,122
不可思议,117
不可避免,23
不同,38
不同寻常,123
不在乎,124
不堪,125
不够,63
不大,63
不好意思,126
不如,114
不如说,107
不妨,121
不安,127
不定,47
不宜,121
不容,109
不对,19
不少,1
不屑,128
不已,129
不平,130
不幸,125
不得不,131
不得了,19
不得已,131
