token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,7
一代,8
一会儿,9
一体,10
一共,11
一再,4
一切,1
一刹那,2
一动不动,12
一半,13
一卡通,14
一口气,15
一句话,16
一同,17
一向,18
一味,19
一块儿,17
一塌糊涂,20
一声不吭,12
一大早,21
一天到晚,22
一头,23
一如既往,18
一定,24
一家人,25
一帆风顺,26
一带,27
一干二净,20
一年到头,22
一应俱全,28
一度,4
一律,1
一心,29
一心一意,29
一成不变,30
一手,31
一技之长,32
一把手,33
一揽子,5
一方面,34
一旁,35
一无所有,6
一无所知,6
一旦,36
一早,21
一时,2
一晃,37
一样,38
一概,1
一概而论,39
一模一样,38
一次性,40
一毛不拔,41
一流,42
一点儿,43
一生,44
一番,9
一目了然,45
一直,18
一眼,46
一瞬间,2
一筹莫展,47
一系列,7
一线,48
一经,49
一致,38
一般,7
一般来说,50
一行,51
一言一行,5
一言不发,12
一贯,18
一起,17
一路,26
一路上,52
一路平安,26
一路顺风,26
一身,53
一辈子,44
一边,35
一连,4
一连串,7
一道,17
一部分,7
一锅粥,54
一长一短,55
一阵,56
一面,57
一鼓作气,58
一齐,17
丁,59
七,0
七嘴八舌,15
万,0
万一,36
万万,60
万分,61
万古长青,62
万无一失,63
万能,64
丈夫,65
三,0
三明治,66
三番五次,4
三维,67
三角,68
上,35
上下,69
上个月,70
上任,71
上升,72
上午,21
上去,73
上台,74
上司,75
上周,70
上场,76
上头,35
上学,77
上岗,78
上市,79
上帝,80
上当,81
上报,82
上方,83
上旬,70
上映,84
上期,70
上来,73
上楼,73
上次,70
上流,85
上涨,72
上游,86
上演,87
上火,54
上班,88
上班族,88
上瘾,89
上空,90
上级,75
上网,91
上衣,53
上诉,92
上课,93
上调,72
上车,73
上边,35
上述,94
上门,95
上限,96
上面,35
下,69
下一代,8
下个月,70
下乡,97
下令,98
下决心,99
下功夫,100
下午,21
下去,73
下台,71
下场,101
下坠,102
下属,75
下山,73
下岗,71
下意识,103
下手,100
下旬,70
下期,70
下来,73
下棋,104
下楼,73
下次,105
下海,73
下游,86
下班,88
下级,75
下落,102
下课,88
下调,72
下跌,72
下车,73
下载,91
下边,35
下降,72
下雨,106
下雪,106
下面,35
不,107
不一会儿,108
不一定,24
不为人知,109
不久,110
不了了之,73
不予,111
不亚于,112
不亦乐乎,113
不仅,114
不仅仅,114
不以为然,115
不但,114
不便,116
不值,117
不假思索,103
不停,22
不像话,20
不光,114
不免,103
不再,118
不准,119
不利,120
不利于,120
不可思议,115
不可避免,24
不同,38
不同寻常,121
不在乎,122
不堪,123
不够,124
不大,61
不好意思,125
不如,112
不如说,105
不妨,118
不安,126
不定,47
不宜,118
不容,107
不对,20
不少,7
不屑,127
不已,128
不平,125
不幸,123
不得不,49
不得了,20
不得已,49
