token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,2
一代,8
一会儿,9
一体,10
一共,11
一再,5
一切,2
一刹那,3
一动不动,12
一半,2
一卡通,13
一口气,12
一句话,0
一同,10
一向,14
一味,15
一块儿,10
一塌糊涂,16
一声不吭,12
一大早,17
一天到晚,18
一头,19
一如既往,14
一定,20
一家人,21
一帆风顺,22
一带,23
一干二净,24
一年到头,18
一应俱全,25
一度,5
一律,2
一心,26
一心一意,26
一成不变,15
一手,19
一技之长,27
一把手,28
一揽子,29
一方面,30
一旁,23
一无所有,7
一无所知,7
一旦,30
一早,17
一时,3
一晃,3
一样,10
一概,2
一概而论,31
一模一样,10
一次性,32
一毛不拔,15
一流,33
一点儿,2
一生,34
一番,35
一目了然,35
一直,14
一眼,12
一瞬间,3
一筹莫展,7
一系列,2
一线,23
一经,3
一致,10
一般,2
一般来说,30
一行,36
一言一行,6
一言不发,12
一贯,14
一起,10
一路,22
一路上,37
一路平安,22
一路顺风,22
一身,38
一辈子,14
一边,23
一连,5
一连串,2
一道,10
一部分,2
一锅粥,24
一长一短,39
一阵,40
一面,41
一鼓作气,42
一齐,10
丁,43
七,1
七嘴八舌,12
万,1
万一,30
万万,1
万分,44
万古长青,22
万无一失,4
万能,45
丈夫,21
三,1
三明治,46
三番五次,5
三维,47
三角,48
上,23
上下,23
上个月,9
上任,49
上升,50
上午,17
上去,51
上台,49
上司,21
上周,9
上场,52
上头,23
上学,53
上岗,49
上市,54
上帝,55
上当,56
上报,57
上方,23
上旬,9
上映,58
上期,9
上来,51
上楼,51
上次,9
上流,59
上涨,50
上游,54
上演,41
上火,24
上班,17
上班族,17
上瘾,60
上空,61
上级,28
上网,62
上衣,38
上诉,63
上课,53
上调,50
上车,64
上边,23
上述,65
上门,51
上限,66
上面,23
下,23
下一代,8
下个月,9
下乡,51
下令,67
下决心,26
下功夫,26
下午,17
下去,51
下台,49
下场,52
下坠,24
下属,28
下山,51
下岗,49
下意识,3
下手,68
下旬,9
下期,9
下来,51
下棋,69
下楼,51
下次,65
下海,51
下游,54
下班,17
下级,28
下落,24
下课,53
下调,50
下跌,50
下车,64
下载,62
下边,23
下降,50
下雨,70
下雪,70
下面,23
不,44
不一会儿,9
不一定,20
不为人知,71
不久,9
不了了之,16
不予,72
不亚于,73
不亦乐乎,74
不仅,30
不仅仅,30
不以为然,75
不但,30
不便,76
不值,27
不假思索,3
不停,18
不像话,16
不光,30
不免,20
不再,20
不准,77
不利,78
不利于,78
不可思议,75
不可避免,20
不同,10
不同寻常,79
不在乎,80
不堪,7
不够,44
不大,44
不好意思,7
不如,73
不如说,30
不妨,20
不安,7
不定,18
