token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,2
一代,8
一会儿,9
一体,10
一共,11
一再,5
一切,2
一刹那,3
一动不动,12
一半,2
一卡通,13
一口气,14
一句话,0
一同,15
一向,16
一味,17
一块儿,15
一塌糊涂,18
一声不吭,12
一大早,19
一天到晚,20
一头,21
一如既往,16
一定,22
一家人,23
一帆风顺,24
一带,25
一干二净,26
一年到头,20
一应俱全,27
一度,5
一律,2
一心,28
一心一意,28
一成不变,29
一手,21
一技之长,30
一把手,31
一揽子,32
一方面,33
一旁,34
一无所有,7
一无所知,7
一旦,33
一早,19
一时,3
一晃,3
一样,10
一概,2
一概而论,10
一模一样,10
一次性,35
一毛不拔,36
一流,37
一点儿,2
一生,38
一番,5
一目了然,27
一直,16
一眼,39
一瞬间,3
一筹莫展,7
一系列,2
一线,25
一经,3
一致,10
一般,2
一般来说,33
一行,40
一言一行,6
一言不发,12
一贯,16
一起,15
一路,41
一路上,42
一路平安,24
一路顺风,24
一身,43
一辈子,38
一边,34
一连,5
一连串,2
一道,15
一部分,2
一锅粥,26
一长一短,44
一阵,45
一面,34
一鼓作气,46
一齐,15
丁,47
七,1
七嘴八舌,14
万,1
万一,33
万万,39
万分,48
万古长青,24
万无一失,49
万能,50
丈夫,23
三,1
三明治,51
三番五次,5
三维,52
三角,53
上,34
上下,34
上个月,9
上任,54
上升,55
上午,19
上去,41
上台,54
上司,23
上周,9
上场,56
上头,34
上学,57
上岗,54
上市,58
上帝,59
上当,60
上报,61
上方,34
上旬,9
上映,62
上期,9
上来,41
上楼,41
上次,9
上流,63
上涨,55
上游,64
上演,65
上火,26
上班,19
上班族,19
上瘾,66
上空,59
上级,31
上网,67
上衣,43
上诉,68
上课,57
上调,55
上车,69
上边,34
上述,34
上门,41
上限,70
上面,34
下,34
下一代,8
下个月,9
下乡,41
下令,71
下决心,28
下功夫,28
下午,19
下去,41
下台,54
下场,72
下坠,53
下属,31
下山,41
下岗,54
下意识,3
下手,28
下旬,9
下期,9
下来,41
下棋,14
下楼,41
下次,73
下海,41
下游,64
下班,19
下级,31
下落,53
下课,57
下调,55
下跌,55
下车,69
下载,67
下边,34
下降,55
下雨,74
下雪,74
下面,34
不,48
不一会儿,9
不一定,22
不为人知,75
不久,9
不了了之,18
不予,76
不亚于,77
不亦乐乎,78
不仅,33
不仅仅,33
不以为然,78
不但,33
不便,58
不值,30
不假思索,3
不停,20
不像话,18
不光,33
不免,22
不再,22
不准,22
不利,79
不利于,80
不可思议,78
不可避免,22
不同,10
不同寻常,75
不在乎,81
不堪,36
不够,48
不大,48
不好意思,7
不如,77
不如说,33
不妨,22
不安,7
不定,20
