token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,repeat_cluster_match_fraction
〇,0,1,0.0,1130,-0.31891873478889465,0.0,1,líng|líng,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither,Translation,1.0
四,1,14,0.7002173481148406,1367,0.36849982716261587,0.5514132701603748,1,sì,four; 4,Translation,1.0
五,1,14,0.6971748245835964,1289,0.3734445346475307,0.5522124221891076,1,wǔ,five; 5,Translation,1.0
六,1,14,0.6902571727203587,1289,0.3418459702896336,0.5246345111593015,1,liù,six; 6,Translation,1.0
三,1,14,0.6686300224747903,1367,0.35741944975521633,0.5189096051697968,1,sān,three; 3; surname San,Translation,1.0
七,1,14,0.6676308463497886,1289,0.3023996601982841,0.47639337913418645,1,qī,seven; 7,Translation,1.0
八,1,14,0.6528020819127176,1289,0.32744756540652253,0.4853624213279557,1,bā,eight; 8,Translation,1.0
九,1,14,0.6150528739563884,1289,0.2497678946129741,0.3935118698697249,1,jiǔ,nine; 9,Translation,1.0
十,1,14,0.5311004930726112,64,0.10744394004259716,0.18642346088510742,1,shí,ten; 10,Translation,1.0
二,1,14,0.5260936381928564,0,0.1725326540581823,0.26689703100180207,1,èr,two; 2; (Beijing dialect) stupid,Translation,1.0
两,1,14,0.5177547021013459,1367,0.15237903429090582,0.24010903232337893,1; 2,liǎng,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)",Translation,1.0
第二,1,14,0.5070490286390409,1367,0.10302851057454199,0.17287257984108265,1,dì (dì-èr),"(prefix indicating ordinal number, as in 六 ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just",Translation,1.0
几,1,14,0.482368698456644,64,0.08453201327597992,0.14038054327726962,1,jǐ,small table; almost; how much; how many; several; a few,Translation,1.0
第,1,14,0.4511270989187268,1367,0.10439638984279909,0.15980605746081641,1,dì (dì-èr),"(prefix indicating ordinal number, as in 六 ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just",Translation,1.0
一,1,14,0.4191563669333277,830,-0.021126812349814394,-0.03637263309278514,1,yī,"one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yāo] for greater clarity when spelling out numbers digit by digit",Translation,1.0
全都,2,13,0.5436608940817885,52,0.11987696592588948,0.20804169092722388,5,quándōu,all; without exception,Translation,1.0
统统,2,13,0.5339289709188988,292,0.13750697217965624,0.2278197215478875,7-9,tǒngtǒng,totally,Translation,1.0
通通,2,13,0.46718863157125123,201,0.09794655946584352,0.15528391342266512,7-9,tōngtōng,all; entire; complete,Translation,1.0
全部,2,13,0.4644783637533707,997,0.03447996592622227,0.06049099826173173,2,quánbù,whole; all,Translation,1.0
皆,2,13,0.4302119701474181,647,-0.007821551027966445,-0.013727124155258353,7-9,jiē,all; each and every; in all cases,Translation,0.75
一律,2,13,0.42834074785682885,647,0.03613443663093774,0.05945181284099739,4,yīlǜ,same; uniformly; all; without exception,Translation,1.0
一概,2,13,0.42608561356535396,203,0.08446838696470699,0.12829677564098602,7-9,yīgài,all; without any exceptions; categorically,Translation,1.0
所有,2,13,0.42316413188346247,581,0.050501349214395086,0.0805011209589286,2,suǒyǒu,all; to have; to possess; to own,Translation,0.75
几乎,2,13,0.41066024297276,52,-0.015970581831546038,-0.027099108181849525,4,jīhū,almost; nearly; practically,Translation,1.0
一切,2,13,0.407194937585885,1034,0.03165784013181394,0.05069611021366561,3,yīqiè,everything; every; all,Translation,1.0
无不,2,13,0.3624292832412029,647,-0.009424217363426635,-0.014781446380311121,7-9,wúbù,none lacking; none missing; everything is there; everyone without exception,Translation,0.75
一一,2,13,0.3544830902363055,0,0.03907664854776788,0.05708007046421773,7-9,yīyī,one by one; one after another,Translation,1.0
其余,2,13,0.3503397505308461,714,-0.02994050574051621,-0.04608640557119048,4,qíyú,the rest; the others; remaining; remainder; apart from them,Translation,0.25
急忙,3,47,0.5595439008915705,1090,0.15531339566352786,0.26069377003429345,4,jímáng,hastily,Translation,0.75
赶忙,3,47,0.5513235044999635,365,0.13795867686705943,0.23516946028038305,6,gǎnmáng,to hurry; to hasten; to make haste,Translation,0.75
连忙,3,47,0.5417840661604945,10,0.11026732941466011,0.19396759155838192,3,liánmáng,promptly; at once,Translation,0.75
慌忙,3,47,0.5262734656553798,1090,0.10704178263955644,0.18431064420904497,5,huāngmáng,in a great rush; in a flurry,Translation,0.75
赶紧,3,47,0.5070408155269819,115,0.0640754570312696,0.11502957313073389,3,gǎnjǐn,hurriedly; without delay,Translation,1.0
立刻,3,47,0.503864920844282,14,0.1376227803127421,0.21715356781242587,3,lìkè,forthwith; immediate; prompt; promptly; straightway; thereupon; at once,Translation,1.0
忽然,3,47,0.46416322066531274,1338,-0.05369880125775245,-0.1002148477460368,2,hūrán,suddenly; all of a sudden,Translation,0.5
忍不住,3,47,0.4549244475388503,10,0.06276722073793173,0.10326226370610173,5,rěn bu zhù,cannot help; unable to bear,Translation,0.75
猛然,3,47,0.44821952662258097,1338,-0.040325891163063565,-0.07308321535234995,7-9,měngrán,suddenly; abruptly,Translation,0.5
立即,3,47,0.44753241810510525,797,0.10621089014718899,0.16124846135916074,4,lìjí,immediately,Translation,1.0
马上,3,47,0.44548452022586754,681,0.0599567902377694,0.09757444422448555,1,mǎshàng,at once; right away; immediately; on horseback (i.e. by military force),Translation,1.0
随即,3,47,0.4425055164041976,318,0.05982837855248252,0.09691586400069419,7-9,suíjí,immediately; presently; following which,Translation,1.0
不由得,3,47,0.4422595399083742,1076,0.056819339341128705,0.09245534672715915,7-9,bùyóude,can't help; cannot but,Translation,0.5
当即,3,47,0.4414863483941131,1082,0.012910832647042791,0.02259411873805555,7-9,dāngjí,at once; on the spot,Translation,1.0
情不自禁,3,47,0.4404616685838682,4,0.036811742398260294,0.06172841090268336,7-9,qíngbùzìjīn,unable to restrain emotions; cannot help,Translation,0.5
突然,3,47,0.43786097809539404,1338,0.000342083423000239,0.0006081687362653704,3,tūrán,sudden; abrupt; unexpected,Translation,0.5
毫不犹豫,3,47,0.4349280453320138,934,-0.03739364379686194,-0.06617501273591424,7-9,háo bù yóuyù,without the slightest hesitation,Translation,1.0
索性,3,47,0.4322145366391354,133,0.049553968878667864,0.08027021487822375,7-9,suǒxìng,you might as well (do it); simply; just,Translation,0.75
悄悄,3,47,0.42829672293699106,318,0.036145993042353,0.05946538857583494,5,qiāoqiāo,quiet; making little or no noise; surreptitious; stealthy; anxious; worried; Taiwan pr. [qiǎo qiǎo],Translation,1.0
赶快,3,47,0.4261466342455552,115,0.0031503814703629507,0.00545989776585545,3,gǎnkuài,quickly; at once,Translation,1.0
顿时,3,47,0.4252647053070864,14,0.009046037084659009,0.01549559157212936,7-9,dùnshí,immediately; suddenly,Translation,0.5
只好,3,47,0.4231513395749828,149,-0.048932258800337636,-0.08482685695115373,3,zhǐhǎo,to have no other option but to ...; to have to; to be forced to,Translation,0.75
禁不住,3,47,0.4230154402837947,156,0.03283568698026684,0.05384486192143479,7-9,jīnbuzhù,can't help it; can't bear it,Translation,0.5
不禁,3,47,0.42107387484937425,156,0.029598763603265243,0.04864018571841206,6,bùjīn,can't help (doing sth); can't refrain from,Translation,0.5
不由自主,3,47,0.4166075309742552,4,0.029890569113598442,0.048738620269499516,7-9,bùyóuzìzhǔ,can't help; involuntarily (idiom),Translation,0.5
偷偷,3,47,0.4156202440818748,1281,-0.055228375856021916,-0.09450768151482598,5,tōutōu,stealthily; secretly; covertly; furtively; on the sly,Translation,0.75
毅然,3,47,0.4126419406989576,934,-0.015465440168046796,-0.026330514961266822,7-9,yìrán,firmly; resolutely; without hesitation,Translation,1.0
只得,3,47,0.4123389610426296,149,-0.08631814631058082,-0.14688424208575532,6,zhǐdé,to have no alternative but to; to be obliged to,Translation,0.75
下意识,3,47,0.4094968004233074,532,0.009360031605405772,0.015603609487717343,7-9,xiàyìshí,subconscious mind,Translation,0.5
顾不得,3,47,0.4065452626232828,167,-0.08534111471131195,-0.1438039151705996,7-9,gùbu dé,unable to change sth; unable to deal with,Translation,0.75
匆匆,3,47,0.40523148884218524,39,-0.0007706750448386868,-0.0012957562990992674,7-9,cōngcōng,hurriedly,Translation,1.0
恨不得,3,47,0.40425546853505695,133,-0.0008284857992020833,-0.001390672940236264,7-9,hènbude,wishing one could do sth; to hate to be unable; itching to do sth,Translation,0.75
迫不及待,3,47,0.40421000640557087,1090,-0.01697995741202557,-0.028499903648237918,7-9,pòbùjídài,impatient (idiom); in a hurry; itching to get on with it,Translation,1.0
干脆,3,47,0.4007842069280475,283,0.015970689595970478,0.025960729056836964,5,gāncuì,candid; direct and to the point; simply; just; might as well,Translation,0.75
不得不,3,47,0.40066292356324235,149,-0.15029660392928085,-0.25077141034364187,3,bùdébù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,Translation,0.5
纷纷,3,47,0.39949695518181016,318,-0.1819891507370741,-0.3030611623162939,4,fēnfēn,one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell,Translation,1.0
灵机一动,3,47,0.39919997423930376,5,0.0273138698939821,0.043485536752077524,7-9,língjī-yīdòng,a bright idea suddenly occurs (idiom); to hit upon an inspiration; to be struck by a brainwave,Translation,0.75
一下子,3,47,0.3980477387147394,5,-0.041996425942853355,-0.06976703742782614,5,yīxiàzi,in a short while; all at once; all of a sudden,Translation,0.5
趁机,3,47,0.3966661827848108,454,-0.18887375423453734,-0.3130501703125524,7-9,chènjī,to seize an opportunity; to take advantage of situation,Translation,0.75
火速,3,47,0.3955317302957454,318,0.014764086844054725,0.02384256359979617,7-9,huǒsù,at top speed; at a tremendous lick,Translation,1.0
连滚带爬,3,47,0.3946047956993422,981,-0.0074299638221421715,-0.01227291489817002,7-9,liángǔn-dàipá,rolling and crawling; trying frantically to escape (idiom),Translation,0.75
不假思索,3,47,0.3909258329836705,398,-0.0032159602673670906,-0.005280079900812679,7-9,bùjiǎ-sīsuǒ,(idiom) to act without taking time to think; to react instantly; to fire from the hip,Translation,1.0
匆忙,3,47,0.38668369411101267,1090,-0.014069982780314239,-0.022940826202101597,7-9,cōngmáng,hasty; hurried,Translation,1.0
顺手,3,47,0.38654383641647955,311,-0.03933713215422968,-0.06412378665240044,7-9,shùnshǒu,easily; without trouble; while one is at it; in passing; handy,Translation,1.0
不约而同,3,47,0.3810656931673889,318,-0.0352199408734436,-0.05690416654019589,7-9,bùyuē'értóng,to agree by chance (idiom); taking the same action without prior consultation,Translation,0.5
连夜,3,47,0.3760567574447048,365,-0.05503875327650187,-0.08821115371182855,7-9,liányè,that very night; through the night; for several nights in a row,Translation,1.0
一齐,3,47,0.3695731182850093,1371,-0.09742018382184797,-0.15453050408768998,6,yīqí,at the same time; simultaneously,Translation,0.25
不知不觉,4,7,0.5119196662638078,39,0.13781641814445356,0.22019033926978138,7-9,bùzhī-bùjué,unconsciously; unwittingly,Translation,0.75
