community,size,internal_edges,weighted_density,connected
0,1,0,,True
1,6,6,0.30462198952833813,True
2,6,7,0.3616063058376312,True
3,68,599,0.2064052573270291,True
4,13,35,0.3567644558273829,True
5,21,93,0.3519190611583846,True
6,26,115,0.2808364008481686,True
7,9,14,0.29955706579817665,True
8,29,115,0.22359811565999327,True
9,16,50,0.3268167826036612,True
10,16,36,0.2322706920405229,True
11,37,192,0.22804903147277888,True
12,7,11,0.41833422652312685,True
13,57,408,0.19860422453448587,True
14,76,628,0.17102664549099772,True
15,1,0,,True
16,10,22,0.3882031612926059,True
17,12,32,0.3778962723233483,True
18,45,250,0.20078703463077546,True
19,16,35,0.22875671312212945,True
20,4,4,0.5211111729343733,True
21,47,227,0.16284669935703278,True
22,55,579,0.3128635754990658,True
23,1,0,,True
24,30,131,0.2364857422894445,True
25,146,4018,0.30326203639545585,True
26,11,19,0.26752121069214563,True
27,60,482,0.21436685758963817,True
28,2,1,0.772734522819519,True
29,23,65,0.20075310696019485,True
30,21,74,0.27763008184376214,True
31,8,11,0.30630443670919966,True
32,36,233,0.2906355715223721,True
33,13,33,0.33059176076681185,True
34,8,8,0.2149652817419597,True
35,17,42,0.2411618652370046,True
36,53,486,0.27539851205053106,True
37,20,51,0.2104569728437223,True
38,275,8669,0.17956251469920942,True
39,61,653,0.2832964031015589,True
40,1,0,,True
41,20,55,0.2298215796288691,True
42,3,3,0.7945718467235565,True
43,29,116,0.22528150538211972,True
44,1,0,,True
45,4,3,0.3738287736972173,True
46,22,77,0.2621573049784739,True
47,10,21,0.38524378372563256,True
48,14,25,0.21481301496317098,True
49,2,1,0.7719607651233673,True
50,7,7,0.2511636196147828,True
51,18,51,0.25991980643833384,True
52,19,39,0.17917613197139828,True
53,6,6,0.3102071563402812,True
54,6,7,0.3764222343762716,True
55,15,32,0.23513664234252202,True
56,57,316,0.15552758277956405,True
57,12,28,0.3382555174105095,True
58,29,116,0.22300764250344243,True
59,1,0,,True
60,1,0,,True
61,12,23,0.27659422926830524,True
62,21,109,0.40702860880465735,True
63,5,5,0.40059953927993774,True
64,20,70,0.2875839176146608,True
65,11,17,0.2436180507594889,True
66,15,46,0.3592763462236949,True
67,8,13,0.3698969142777579,True
68,1,0,,True
69,1,0,,True
70,20,72,0.2962353612247266,True
71,1,0,,True
72,8,8,0.2167517798287528,True
73,206,7322,0.27288062269163166,True
74,21,62,0.22986551906381333,True
75,21,93,0.3442931544922647,True
76,11,15,0.20745178759098054,True
77,51,355,0.21976310028749355,True
78,61,442,0.1905042248671172,True
79,53,371,0.2109661624916925,True
80,35,138,0.18057431268090962,True
81,3,3,0.8166615466276804,True
82,82,1033,0.24676165813442744,True
83,105,1507,0.21559532714577823,True
84,46,248,0.18490953562052354,True
85,12,23,0.26924239031293173,True
86,3,2,0.5477184951305389,True
87,45,227,0.17882005391698896,True
88,122,1951,0.20780755824358577,True
89,9,12,0.25976484475864303,True
90,11,16,0.2235678044232455,True
91,23,63,0.19345352707408633,True
92,15,38,0.28215855814161755,True
93,115,1700,0.203103801819498,True
94,25,96,0.2502763779461384,True
95,23,106,0.32535148197011987,True
96,27,86,0.1926904935442824,True
97,26,83,0.19807251650553484,True
98,2,1,0.7628650665283203,True
99,86,1612,0.3522010832658055,True
100,41,313,0.3008763866453636,True
101,9,13,0.2841463473935922,True
102,7,8,0.30109640672093346,True
103,16,53,0.35131520914534725,True
104,5,5,0.4166352957487106,True
105,13,30,0.30484130883064026,True
106,1,0,,True
107,5,4,0.30467657148838045,True
108,15,41,0.3078692668960208,True
109,6,5,0.25815523862838746,True
110,16,49,0.3232036211838325,True
111,11,16,0.22696912017735568,True
112,4,4,0.5203310151894888,True
113,33,150,0.21978197105680453,True
114,6,6,0.3110829432805379,True
115,8,9,0.2537558414041996,True
116,41,197,0.18767367761309553,True
117,62,402,0.16638467929339296,True
118,11,17,0.24168661372228104,True
119,24,106,0.30195649918438733,True
120,8,11,0.30057699020419804,True
121,149,2645,0.18705088886184526,True
122,16,46,0.3009319306661685,True
123,12,26,0.3148359821149797,True
124,24,72,0.20596632453194563,True
125,35,138,0.1833435336581799,True
126,79,746,0.18871056531996977,True
127,17,51,0.28946275658467235,True
128,9,17,0.3622879133456283,True
129,1,0,,True
130,1,0,,True
131,7,8,0.2920572268111365,True
132,21,81,0.3025300920719192,True
133,17,50,0.2930039332850891,True
134,7,7,0.2613583505153656,True
135,22,96,0.33375077833344924,True
136,9,15,0.3295630245572991,True
137,1,0,,True
138,11,23,0.3266262089664286,True
139,19,61,0.27931791474247536,True
140,52,413,0.24403153620604118,True
141,14,35,0.3023423888198622,True
142,1,0,,True
143,20,55,0.22588913958323628,True
144,15,48,0.3605868915716807,True
145,1,0,,True
146,15,37,0.2779253979523977,True
147,27,83,0.18544168400968242,True
148,17,40,0.2357216944151065,True
149,6,8,0.4121733476718267,True
150,80,739,0.18168481717569918,True
151,6,7,0.36759861210982003,True
152,8,15,0.4128470426159246,True
153,11,27,0.38997255184433677,True
154,8,8,0.21463559727583612,True
155,5,4,0.3145618200302124,True
156,81,712,0.1734303902282759,True
157,13,24,0.23849315291795975,True
158,17,51,0.2922150041250622,True
159,35,215,0.2862908774564246,True
160,33,215,0.3183268154265754,True
161,46,365,0.2761115981904781,True
162,101,1141,0.17512622821744125,True
163,23,70,0.21551589131826468,True
164,4,4,0.5107773641745249,True
165,20,57,0.23526736568463477,True
166,85,1114,0.24407743875469481,True
167,3,3,0.8398721714814504,True
168,15,42,0.31131648534820194,True
169,1,0,,True
170,2,1,0.8162781894207001,True
171,4,3,0.388266625503699,True
172,19,55,0.24993853863568333,True
173,1,0,,True
174,71,991,0.31628379647280846,True
175,6,7,0.37374550898869835,True
176,23,60,0.1836210182415167,True
177,5,4,0.3077715337276459,True
178,2,1,0.7384287863969803,True
179,6,6,0.3069660186767578,True
180,7,6,0.22449700179554166,True
181,18,42,0.21455547223293703,True
182,22,91,0.3108924753738172,True
183,22,91,0.3097493382759425,True
184,1,0,,True
185,12,17,0.1974767931934559,True
186,59,570,0.262206891330622,True
187,13,24,0.23563615404642546,True
188,35,212,0.2821923292985483,True
189,11,15,0.20998558402061462,True
190,16,46,0.3047737244516611,True
191,18,64,0.33023302159667794,True
192,6,7,0.35352597733338675,True
193,9,11,0.23525763799746832,True
194,68,633,0.2196954053559253,True
195,26,92,0.22342634219389695,True
196,54,526,0.29445517395319093,True
197,18,57,0.29076142570162133,True
198,7,9,0.33238999119826723,True
199,14,23,0.19464546065409105,True
200,9,11,0.2353992693954044,True
201,1,0,,True
202,1,0,,True
203,90,1414,0.277894286958317,True
204,12,22,0.2628755702665358,True
205,5,5,0.38491684943437576,True
206,1,0,,True
207,6,10,0.5287252962589264,True
208,2,1,0.7392510920763016,True
209,39,200,0.21167090472824338,True
210,7,7,0.26630455326466335,True
211,8,11,0.30834938479321344,True
212,5,5,0.3875205621123314,True
213,53,308,0.1756574749643813,True
214,6,5,0.2506931414206823,True
215,7,7,0.26146531317915234,True
216,19,46,0.20928008514538146,True
217,36,163,0.20236423273408224,True
218,9,11,0.2402124305566152,True
219,15,37,0.27534982093742916,True
220,14,32,0.27773253603295966,True
221,4,3,0.3776532510916392,True
222,8,9,0.244588276637452,True
223,20,49,0.20448782530270124,True
224,17,63,0.3674907463000101,True
225,31,152,0.25599975650028517,True
226,13,35,0.34901772573208195,True
227,30,121,0.21796084036087168,True
228,20,66,0.27036870796429485,True
229,12,24,0.2791297724752715,True
230,1,0,,True
231,12,22,0.2694674019109119,True
232,23,67,0.20876666591337076,True
233,28,132,0.27652986099322635,True
234,16,40,0.2632340426246325,True
235,8,16,0.4537911590720926,True
236,14,26,0.22514873497433716,True
237,1,0,,True
238,5,4,0.30337331891059877,True
239,19,39,0.17833203495594493,True
240,11,20,0.2875933798876676,True
241,6,7,0.35778526663780214,True
242,109,1328,0.17608015752399692,True
243,25,87,0.22509597977002463,True
244,25,124,0.3268328380584717,True
245,7,8,0.3056817650794983,True
246,5,5,0.39266662299633026,True
247,19,41,0.1869502254048286,True
248,10,17,0.2921660711367925,True
249,6,5,0.2617540697256724,True
250,1,0,,True
251,9,12,0.2575960088935163,True
252,9,13,0.2797679710719321,True
253,3,2,0.5263641774654388,True
254,21,81,0.3027680007474763,True
255,10,16,0.2788957244820065,True
256,12,24,0.28675326795289013,True
257,5,5,0.39995812624692917,True
258,22,68,0.22948858696660954,True
259,3,2,0.5056627889474233,True
260,5,4,0.2995351910591125,True
261,33,141,0.20963518928284897,True
262,5,5,0.384369295835495,True
263,20,54,0.22315495076932404,True
264,11,20,0.2797770473090085,True
265,11,30,0.42857954041524365,True
266,10,19,0.32528108093473646,True
267,23,77,0.23907096483726276,True
268,8,9,0.2474830991455487,True
269,9,18,0.39474136920438874,True
270,3,2,0.4934696704149246,True
271,5,5,0.382505963742733,True
272,4,4,0.5088845193386078,True
273,5,4,0.3075483366847038,True
274,12,22,0.26121185990897094,True
275,20,65,0.26622910758382395,True
276,12,20,0.23415502589760404,True
277,2,1,0.7423415631055832,True
278,3,3,0.7822910149892172,True
279,17,40,0.2298749680904781,True
280,5,7,0.5371761500835419,True
281,7,7,0.2552044398727871,True
282,81,758,0.1840978994735597,True
283,6,6,0.311403692762057,True
284,10,23,0.4001062055428823,True
285,5,7,0.559286604821682,True
286,26,112,0.2719150945314994,True
287,5,5,0.3972490683197975,True
288,7,9,0.3363884538412094,True
289,1,0,,True
290,44,261,0.21487957130463883,True
291,17,41,0.2391196607666857,True
292,17,51,0.2927840210716514,True
293,1,0,,True
294,51,292,0.17899344411550783,True
295,6,7,0.35786455174287163,True
296,56,345,0.1737912698999628,True
297,3,3,0.7767729560534159,True
298,7,9,0.33442833664871396,True
299,4,3,0.3749626974264781,True
300,18,70,0.36190305591798294,True
301,40,253,0.25314627948861856,True
302,5,9,0.7163484871387482,True
303,19,86,0.39475586522392364,True
304,6,7,0.3670796046654383,True
305,15,36,0.2673977133773622,True
306,8,12,0.3352382353373936,True
307,1,0,,True
308,8,8,0.21989007826362336,True
309,23,83,0.2605895017211145,True
310,1,0,,True
311,18,41,0.20921114145540723,True
312,8,10,0.2835383095911571,True
313,55,633,0.33472963115984344,True
314,11,19,0.27433760247447275,True
315,13,23,0.23048864973661226,True
316,8,14,0.4030397374715124,True
317,9,10,0.21610111577643287,True
318,1,0,,True
319,15,41,0.3067488745564506,True
320,13,23,0.23502745097264266,True
321,10,16,0.280154687166214,True
322,55,339,0.17821428851045742,True
323,11,14,0.1996236570856788,True
324,5,4,0.3048937037587166,True
325,13,27,0.2728649949034055,True
326,5,6,0.45982690900564194,True
327,9,13,0.2796188427342309,True
328,2,1,0.7465199381113052,True
329,4,3,0.40344921747843426,True
330,23,87,0.2660805722588136,True
331,13,32,0.3239101593693097,True
332,1,0,,True
333,39,229,0.24194605660583327,True
334,1,0,,True
335,7,7,0.2500784049431483,True
336,3,2,0.5319646944602331,True
337,32,147,0.23197223071850115,True
338,51,403,0.24711172931334552,True
339,10,22,0.3912548753950331,True
340,7,8,0.2966617239373071,True
341,23,103,0.32112867859276856,True
342,9,20,0.4278228067689472,True
343,8,10,0.28271598901067463,True
344,15,27,0.1999191136587234,True
345,1,0,,True
346,15,30,0.2248840066648665,True
347,5,4,0.3033428341150284,True
348,9,14,0.30474939238693977,True
349,8,10,0.27563913219741415,True
350,4,4,0.5242006182670593,True
351,19,70,0.32439311746268246,True
352,23,92,0.2863047587070541,True
353,22,62,0.20944562954304022,True
354,42,254,0.22892449697550996,True
355,29,162,0.3147097285745179,True
356,1,0,,True
357,21,65,0.24380923232861929,True
358,100,1199,0.18681221377668958,True
359,1,0,,True
360,20,70,0.2884412924710073,True
361,18,49,0.2522037503571292,True
362,12,20,0.23177431365757278,True
363,6,6,0.3080832988023758,True
364,10,20,0.34948689738909405,True
365,8,12,0.3391352338450296,True
366,5,4,0.30109651684761046,True
367,10,22,0.3773400985532337,True
368,9,14,0.310860060983234,True
369,22,92,0.31388884118367066,True
