token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,3
一体,10
一共,11
一再,5
一切,2
一刹那,12
一动不动,13
一半,14
一卡通,15
一口气,16
一句话,17
一同,18
一向,19
一味,20
一块儿,21
一塌糊涂,22
一声不吭,23
一大早,24
一天到晚,25
一头,26
一如既往,19
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,22
一年到头,31
一应俱全,32
一度,5
一律,33
一心,34
一心一意,34
一成不变,35
一手,36
一技之长,37
一把手,38
一揽子,39
一方面,40
一旁,41
一无所有,7
一无所知,7
一旦,42
一早,24
一时,43
一晃,12
一样,44
一概,2
一概而论,45
一模一样,46
一次性,47
一毛不拔,48
一流,49
一点儿,50
一生,51
一番,52
一目了然,53
一直,19
一眼,23
一瞬间,12
一筹莫展,54
一系列,55
一线,56
一经,57
一致,58
一般,59
一般来说,40
一行,60
一言一行,6
一言不发,23
一贯,19
一起,21
一路,30
一路上,61
一路平安,62
一路顺风,62
一身,63
一辈子,51
一边,41
一连,5
一连串,55
一道,64
一部分,14
一锅粥,65
一长一短,66
一阵,67
一面,68
一鼓作气,69
一齐,70
丁,71
七,72
七嘴八舌,70
万,73
万一,4
万万,74
万分,75
万古长青,76
万无一失,77
万能,78
丈夫,28
三,72
三明治,79
三番五次,5
三维,80
三角,81
上,41
上下,82
上个月,83
上任,84
上升,85
上午,24
上去,86
上台,87
上司,38
上周,83
上场,87
上头,41
上学,88
上岗,89
上市,90
上帝,91
上当,92
上报,93
上方,82
上旬,83
上映,94
上期,95
上来,86
上楼,96
上次,97
上流,98
上涨,85
上游,99
上演,100
上火,101
上班,102
上班族,103
上瘾,104
上空,105
上级,38
上网,106
上衣,107
上诉,108
上课,88
上调,85
上车,96
上边,41
上述,109
上门,110
上限,111
上面,41
下,112
下一代,9
下个月,113
下乡,114
下令,115
下决心,115
下功夫,116
下午,24
下去,86
下台,84
下场,117
下坠,118
下属,119
下山,96
下岗,120
下意识,3
下手,121
下旬,83
下期,95
下来,86
下棋,122
下楼,102
下次,123
下海,124
下游,99
下班,102
下级,38
下落,125
下课,102
下调,85
下跌,85
下车,96
下载,126
下边,41
下降,85
下雨,127
下雪,127
下面,41
不,128
不一会儿,3
不一定,40
不为人知,129
不久,130
不了了之,131
不予,57
不亚于,132
不亦乐乎,133
不仅,40
不仅仅,40
不以为然,134
不但,40
不便,135
不值,136
不假思索,3
不停,137
不像话,50
不光,40
不免,4
不再,25
不准,33
不利,138
不利于,139
不可思议,140
不可避免,4
不同,46
不同寻常,129
不在乎,141
不堪,54
不够,128
不大,142
不好意思,143
不如,132
不如说,40
不妨,144
不安,134
不定,145
