community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
0,1,,0.0,0.0,〇,〇,〇,〇
1,1,,0.0,0.0,一,一,一,一
2,9,0.41571654946191205,0.09005207630888276,0.2222222222222222,统统 一概 一律 予以 一一 通通 加以 不予 一切,一切 不予 通通 统统 予以 加以 一概 一律,不予 通通 加以 统统 予以 一概 一切 一律 一一,统统 一概 一律 予以 一一 通通 加以 不予 一切
3,46,0.426888674662983,-0.004829169686665301,0.5,急忙 赶忙 连忙 慌忙 赶紧 立刻 忽然 立即 马上 忍不住 当即 猛然,纷纷 不禁 不得不 迅速 悄悄 果断 当即 顾不上,不得不 慌忙 立刻 立即 只得 只好 禁不住 不禁 不由自主 来不及 果断 连忙,急忙 赶忙 连忙 慌忙 赶紧 立刻 忽然 立即 马上 忍不住 当即 猛然 随即 不由得 毫不犹豫 突然 赶快 情不自禁 索性 顾不得 顿时 禁不住 只好 悄悄 不禁 毅然 迫不及待 匆匆 只得 不由自主 火速 恨不得 下意识 不得不 一下子 匆忙 干脆 灵机一动 顾不上 不假思索 纷纷 来不及 连夜 果断 迅速 来得及
4,14,0.42430489428156776,0.0601274282304543,0.42857142857142855,小心 留神 当心 提防 注意 留心 警惕 生怕 留意 怕 一不小心 关注,戒备 一不小心 万一 怕 警惕 关注 生怕 留意,关注 一不小心 怕 戒备 当心 生怕 小心 万一 注意 警惕 留心 提防,小心 留神 当心 提防 注意 留心 警惕 生怕 留意 怕 一不小心 关注 戒备 万一
5,3,0.377546121592451,-0.00616544445027854,0.3333333333333333,收复 解放 一举,解放 一举 收复,收复 解放 一举,收复 解放 一举
6,12,0.40348833899913245,0.04111247145255353,0.3333333333333333,举动 言行 举措 行为 所作所为 行动 做法 措施 一言一行 一举一动 计策 对策,计策 对策 一举一动 做法 一言一行 措施 所作所为 举措,对策 举动 行为 举措 计策 行动 言行 一举一动 措施 所作所为 做法 一言一行,举动 言行 举措 行为 所作所为 行动 做法 措施 一言一行 一举一动 计策 对策
7,7,0.4521207249970981,0.07429125584949736,0.14285714285714285,一无所有 一事无成 无所事事 无所作为 无能为力 一无所知 倾家荡产,倾家荡产 一无所知 无能为力 无所事事 一事无成 无所作为 一无所有,无所作为 无能为力 倾家荡产 一无所知 无所事事 一无所有 一事无成,一无所有 一事无成 无所事事 无所作为 无能为力 一无所知 倾家荡产
8,28,0.411131481855498,-0.013071418612046375,0.6071428571428571,大部分 大多数 绝大多数 大多 多数 大都 多半 许多 半数 部分 不少 基本上,一些 这些 许多 基本上 全都 有的 几乎 其余,通常 一般 不少 部分 许多 或多或少 几乎 有的 大多 多数 这些 绝大多数,大部分 大多数 绝大多数 大多 多数 大都 多半 许多 半数 部分 不少 基本上 全都 一部分 有的 一些 一般 全部 或多或少 通常 所有 其余 这些 少数 普遍 几乎 一半 个别
9,16,0.4178687214704018,0.03562617538935418,0.4375,后代 子孙 后裔 祖先 辈 世代 祖宗 家族 后人 一代 传人 世袭,家族 下一代 后裔 传人 世袭 血缘 族 祖先,祖先 祖宗 子孙 代 族 后人 后代 世代 辈 下一代 传人 血缘,后代 子孙 后裔 祖先 辈 世代 祖宗 家族 后人 一代 传人 世袭 血缘 代 下一代 族
10,12,0.43247633153706644,0.05671854126555758,0.4166666666666667,钟头 分钟 小时 半天 星期 钟 一会儿 好久 礼拜 秒 半 分,分 一会儿 钟 好久 星期 半 礼拜 秒,分 半 一会儿 秒 礼拜 分钟 钟 小时 好久 钟头 星期 半天,钟头 分钟 小时 半天 星期 钟 一会儿 好久 礼拜 秒 半 分
11,5,0.2777522883855677,-0.136510342727652,1.0,一体 以上 为主 一身 上述,上述 以上 一身 为主 一体,一身 以上 上述 为主 一体,一体 以上 为主 一身 上述
12,16,0.46014310844459344,0.11275773495637989,0.1875,共计 总共 总计 一共 共 合计 约 大约 累计 共有 折合 仅,平均 仅 计 分别 至少 折合 大约 共有,共有 共 仅 约 总共 总计 合计 大约 计 折合 共计 至少,共计 总共 总计 一共 共 合计 约 大约 累计 共有 折合 仅 平均 至少 分别 计
