community,size,internal_edges,weighted_density,connected
0,1,0,,True
1,1,0,,True
2,9,18,0.36778049502107835,True
3,47,402,0.27616800178983053,True
4,12,34,0.39291640461394284,True
5,5,4,0.2916378751397133,True
6,7,14,0.5017526000738144,True
7,7,12,0.41634498110839296,True
8,22,129,0.42116853601230686,True
9,16,54,0.33242885346213974,True
10,12,30,0.34468540707320877,True
11,9,11,0.21808290315998924,True
12,17,81,0.4518861260045977,True
13,17,63,0.35217878156725096,True
14,12,34,0.38441093559518,True
15,6,11,0.5656018008788427,True
16,19,86,0.36773200376689086,True
17,31,183,0.28765124752316423,True
18,12,33,0.3689257355801987,True
19,11,25,0.33776464299722153,True
20,25,122,0.30633527621626855,True
21,8,14,0.37582716984408243,True
22,8,15,0.3864965071635587,True
23,51,623,0.3692215502028372,True
24,22,114,0.3724996926206531,True
25,5,5,0.3599156871438026,True
26,4,3,0.3586539179086685,True
27,110,3048,0.382209909968917,True
28,3,2,0.4684053460756938,True
29,8,15,0.39048408397606443,True
30,7,10,0.3551771498861767,True
31,5,4,0.2783955842256546,True
32,36,256,0.2995374792151981,True
33,2,1,0.6864549815654755,True
34,4,3,0.34783779333035153,True
35,11,30,0.4043434064496647,True
36,3,2,0.4913628200689952,True
37,1,0,,True
38,63,779,0.29228228458031225,True
39,51,604,0.35244724204727246,True
40,7,12,0.4222173470826376,True
41,5,4,0.3008369043469429,True
42,3,2,0.5277131497859955,True
43,17,77,0.42495628457297296,True
44,4,5,0.5980472390850385,True
45,1,0,,True
46,1,0,,True
47,13,49,0.46757082870373357,True
48,10,27,0.46155463622676,True
49,9,19,0.38879257068037987,True
50,2,1,0.7559592723846436,True
51,1,0,,True
52,18,77,0.3721119886130289,True
53,9,25,0.5139430728223588,True
54,19,76,0.3284580757220586,True
55,4,4,0.48360246419906616,True
56,3,2,0.4655348062515259,True
57,11,25,0.33226683383638206,True
58,38,423,0.4520474479429074,True
59,26,152,0.3443526458281737,True
60,12,35,0.39644797281785443,True
61,10,24,0.3891341315375434,True
62,10,22,0.35732603636052873,True
63,4,4,0.4856296703219414,True
64,3,2,0.5047315607468287,True
65,1,0,,True
66,9,13,0.26230210852291846,True
67,9,15,0.30715733269850415,True
68,19,111,0.48016947655998476,True
69,7,8,0.2716801897400901,True
70,12,52,0.6296747306531126,True
71,35,219,0.26741772238947764,True
72,11,26,0.3472649847919291,True
73,5,6,0.44441002160310744,True
74,5,8,0.6230870515108109,True
75,1,0,,True
76,6,8,0.401695653796196,True
77,2,1,0.7438491880893707,True
78,157,4724,0.28286815033630863,True
79,5,6,0.4370399534702301,True
80,21,96,0.3290001176652454,True
81,1,0,,True
82,3,2,0.4755453368028005,True
83,36,269,0.31977547899125114,True
84,35,298,0.37205133433101556,True
85,25,155,0.388359099427859,True
86,22,100,0.32035505158818645,True
87,19,97,0.42018890659711516,True
88,7,9,0.3195373848790214,True
89,9,19,0.38805587796701324,True
90,77,874,0.21864980548335033,True
91,7,11,0.3950387800023669,True
92,4,3,0.350777102013429,True
93,3,2,0.4649222046136856,True
94,23,78,0.22602199094568787,True
95,21,94,0.32962405071372075,True
96,6,11,0.5387139171361923,True
97,32,275,0.41292038758195215,True
98,3,3,0.765335887670517,True
99,21,84,0.29923356147039504,True
100,11,26,0.34766196445985276,True
101,8,11,0.30099292525223326,True
102,9,15,0.3109695004920165,True
103,39,353,0.3488976551815566,True
104,12,34,0.37649928304282104,True
105,5,6,0.4506483361124992,True
106,9,22,0.4548053666949272,True
107,3,2,0.4782243271668752,True
108,2,1,0.7348581105470657,True
109,68,1248,0.4124971301580229,True
110,33,259,0.3658799528793404,True
111,61,685,0.27402945211350593,True
112,5,6,0.43966065496206286,True
113,4,3,0.37415844202041626,True
114,8,12,0.3191798930721624,True
115,5,5,0.4148738726973534,True
116,1,0,,True
117,5,5,0.3541242673993111,True
118,8,12,0.31017990144235746,True
119,12,35,0.3928811705925248,True
120,5,5,0.36594129502773287,True
121,4,3,0.36637696127096814,True
122,13,48,0.4560868816497998,True
123,6,9,0.442551056543986,True
124,3,2,0.47350406150023144,True
125,4,3,0.35845842212438583,True
126,7,11,0.3781434964566004,True
127,13,39,0.3595118969678879,True
128,34,257,0.3417343597414234,True
129,28,172,0.338099594035792,True
130,104,1969,0.26881173237201167,True
131,1,0,,True
132,7,9,0.3019025907630012,True
133,17,77,0.4232648715157719,True
134,8,16,0.4066720525068896,True
135,8,13,0.3332576054547514,True
136,4,3,0.3533327306310336,True
137,4,3,0.3560469423731168,True
138,13,48,0.46054131919756913,True
139,13,47,0.4543784239735359,True
140,9,15,0.3087119133108192,True
141,22,120,0.39244123467635283,True
142,44,367,0.2857834447734452,True
143,8,21,0.5648670627602509,True
144,11,28,0.3732674828984521,True
145,37,335,0.3748667284667313,True
146,21,99,0.34045843382676444,True
147,11,32,0.43276607312939386,True
148,29,166,0.3043987215886562,True
149,113,2135,0.24599278395861274,True
150,3,2,0.4653207908074061,True
151,1,0,,True
152,3,2,0.4681353271007538,True
153,43,405,0.33126233551127304,True
154,12,37,0.42085041918537835,True
155,7,9,0.3150714962255387,True
156,5,5,0.3647392183542252,True
157,4,4,0.48902924607197445,True
158,17,64,0.34557577551287766,True
159,3,2,0.4737154394388199,True
160,17,58,0.313054662416963,True
161,23,107,0.3156281416948605,True
162,6,11,0.5481382807095846,True
163,9,19,0.39290272237526047,True
164,7,8,0.28436339185351417,True
165,5,6,0.4482347398996353,True
166,11,30,0.4050615194168958,True
167,9,20,0.4151937887072563,True
168,28,223,0.43659515805029997,True
169,6,9,0.43812793791294097,True
170,2,1,0.7003446370363235,True
171,16,63,0.3831232152879238,True
172,3,2,0.48789218564828235,True
173,7,13,0.4579725748016721,True
174,9,25,0.529701912154754,True
175,24,148,0.3925132275275562,True
176,11,29,0.38436340554194015,True
177,1,0,,True
178,7,12,0.43560515911806197,True
179,2,1,0.720119372010231,True
180,12,33,0.35782165577014285,True
181,6,10,0.48926344712575276,True
182,5,6,0.44834836274385453,True
183,2,1,0.7985288798809052,True
184,21,90,0.31201952951295037,True
185,49,409,0.2585807068615544,True
186,9,20,0.41282455664541984,True
187,15,48,0.33594105953261966,True
188,13,37,0.3432601401821161,True
189,12,29,0.33108873778220377,True
190,5,4,0.2809054434299469,True
191,27,191,0.4067557431184329,True
192,12,35,0.39082251127922174,True
193,33,227,0.31456074733851536,True
194,74,1148,0.3155464601876426,True
195,10,25,0.42057636545764077,True
196,4,6,0.7890059774120649,True
197,9,16,0.3250492409699493,True
198,49,436,0.2682055718436533,True
199,8,17,0.45445904561451506,True
200,33,289,0.4060770807166894,True
201,10,19,0.31026175419489543,True
202,2,1,0.7247514426708221,True
203,50,524,0.31416192422107775,True
204,3,3,0.8424154222011566,True
205,2,1,0.6961050778627396,True
206,2,1,0.7239432334899902,True
207,18,65,0.3070119067150004,True
208,13,35,0.3312499454388252,True
209,32,215,0.3252874131825182,True
210,15,45,0.31934406090350376,True
211,3,2,0.483689288298289,True
212,2,1,0.7497564107179642,True
213,12,30,0.32747383551164105,True
214,16,46,0.2841833615054687,True
215,1,0,,True
216,62,922,0.3612825126559062,True
217,12,41,0.45536311806151364,True
218,9,15,0.30248573008510804,True
219,15,51,0.36024170773369923,True
220,13,35,0.33524521249227035,True
221,15,58,0.4088192731142044,True
222,3,2,0.46767954031626385,True
223,3,2,0.46580661833286285,True
224,16,60,0.37331799442569413,True
225,4,3,0.37847093989451724,True
226,3,2,0.5186534027258555,True
227,24,114,0.3029060623460058,True
228,15,50,0.35153601354076747,True
229,3,2,0.46135225395361584,True
230,5,6,0.43065335899591445,True
231,46,506,0.3608399930783516,True
232,4,3,0.3717135712504387,True
233,19,133,0.5898132951636064,True
234,17,70,0.3763385971679407,True
235,1,0,,True
236,18,82,0.3992316196946537,True
237,11,33,0.4464492052793503,True
238,1,0,,True
239,1,0,,True
240,3,2,0.48386317988236743,True
241,40,363,0.34731875247298144,True
242,15,53,0.36997350056966144,True
243,17,49,0.26619579785448666,True
244,57,764,0.3524175134106985,True
245,40,406,0.39287989701216036,True
246,17,45,0.24372134313863866,True
247,6,10,0.48262962102890017,True
248,17,71,0.38759185428566795,True
249,10,17,0.2777853535281287,True
250,17,72,0.3953919953064007,True
251,9,20,0.40505072805616593,True
252,10,26,0.42198797398143345,True
253,1,0,,True
254,1,0,,True
255,31,186,0.29661638579701866,True
256,8,16,0.42808108404278755,True
257,22,126,0.4153296975862412,True
258,3,2,0.4712221870819728,True
259,14,36,0.2894622565625788,True
260,57,627,0.2857012473476262,True
261,8,14,0.37673565319606234,True
262,10,26,0.44164555503262415,True
263,1,0,,True
264,22,96,0.309119931998707,True
265,4,3,0.35206274191538495,True
266,7,11,0.3856894281648454,True
267,37,334,0.3689580976112827,True
268,3,2,0.4591175764799118,True
269,2,1,0.7382293194532394,True
270,5,10,0.7553645312786103,True
271,3,2,0.4922263075908025,True
272,22,126,0.4036886138575418,True
273,5,6,0.44163556694984435,True
274,9,22,0.453754304183854,True
275,7,11,0.37957640843732016,True
276,4,3,0.3604520907004674,True
277,11,25,0.33271142054687847,True
278,7,14,0.49681536640439716,True
279,13,41,0.3862471070427161,True
280,10,25,0.40610728628105586,True
281,2,1,0.6927598714828491,True
282,2,1,0.7043308913707733,True
283,14,41,0.32451224638210546,True
284,16,64,0.40242921163638434,True
285,18,79,0.4006008457124623,True
286,35,283,0.3508779948749462,True
287,31,171,0.270983689190239,True
288,14,42,0.3370692546551044,True
289,21,97,0.3467482881177039,True
290,45,479,0.36116361491607896,True
291,6,10,0.4862022131681442,True
292,8,12,0.32791161803262575,True
293,6,7,0.3303960810105006,True
294,2,1,0.6888090670108795,True
295,19,80,0.34562962245174317,True
296,24,128,0.3465612475098907,True
297,11,28,0.3856936248865995,True
298,1,0,,True
299,8,13,0.355875595339707,True
300,13,42,0.3900671979555717,True
301,1,0,,True
302,7,13,0.44553967245987486,True
303,7,10,0.3508282743749164,True
304,11,25,0.3375041487542066,True
305,3,2,0.4598560680945714,True
306,7,11,0.3770084090176083,True
307,7,10,0.34564305203301565,True
308,8,16,0.42022957865680965,True
309,18,62,0.3046751504435259,True
310,8,14,0.3798257490353925,True
311,3,2,0.5052875081698099,True
312,9,18,0.38200105643934673,True
313,12,36,0.39903312582861294,True
314,12,36,0.403600208912835,True
315,68,1092,0.35497759786271754,True
316,5,5,0.37520064413547516,True
317,8,13,0.34456053163324085,True
318,13,34,0.3179254921583029,True
319,7,7,0.24253812503247035,True
320,4,4,0.4766666367650032,True
321,2,1,0.6905604600906372,True
322,17,49,0.2652974307317944,True
323,7,9,0.3105536429654984,True
324,3,2,0.4807611256837845,True
325,14,58,0.47381457457175624,True
326,16,50,0.30409612047175566,True
327,10,26,0.43369800349076587,True
328,1,0,,True
329,2,1,0.8761184811592102,True
330,9,16,0.32434914509455365,True
331,4,3,0.36722277601559955,True
332,7,8,0.29118800518058596,True
333,13,36,0.345830761660368,True
334,23,95,0.27384320826162933,True
335,5,7,0.5231752976775169,True
336,17,62,0.3392919609870981,True
337,8,15,0.3937593102455139,True
338,6,7,0.3386458863814672,True
339,24,114,0.30245722938274994,True
340,1,0,,True
341,4,5,0.6045766696333885,True
342,11,22,0.28986178148876535,True
343,3,2,0.4795140326023102,True
344,28,176,0.3452568037642373,True
345,22,100,0.31783700073178195,True
346,5,5,0.3502155691385269,True
347,1,0,,True
348,5,5,0.3644664525985718,True
349,4,4,0.4897491658727328,True
350,1,0,,True
351,17,71,0.381917494294398,True
352,18,78,0.3769533822154687,True
353,5,5,0.35752796828746797,True
354,6,8,0.38725269337495166,True
355,19,75,0.3235701900302318,True
356,13,39,0.3689687955073821,True
357,15,59,0.41455257478214447,True
358,11,31,0.4158367845145139,True
359,7,8,0.27577500754878637,True
360,5,6,0.42455739080905913,True
361,3,2,0.47369546194871265,True
362,3,2,0.4636240651210149,True
363,12,31,0.3507471978664398,True
364,24,130,0.3492405964196592,True
365,4,4,0.5039609869321188,True
366,16,58,0.3613287561883529,True
367,29,161,0.2931850348493736,True
368,4,4,0.4955200602610906,True
369,1,0,,True
370,8,16,0.4242406168154308,True
371,9,23,0.47068050917651916,True
372,37,272,0.30175684021041915,True
373,4,3,0.36577189962069195,True
374,29,167,0.3035989171398684,True
375,38,336,0.3512017244889082,True
376,8,15,0.38576626564775196,True
377,7,7,0.24567156391484396,True
378,15,55,0.3875627238126028,True
379,24,120,0.318324598443249,True
380,1,0,,True
381,5,4,0.29042268842458724,True
382,2,1,0.698127493262291,True
383,5,5,0.3622879222035408,True
384,17,91,0.49631563902777787,True
385,6,9,0.4527706871430079,True
386,12,44,0.4885636012662541,True
387,14,55,0.4555638766550756,True
388,4,5,0.6101632888118426,True
389,5,8,0.5705785825848579,True
390,16,47,0.28619513710339867,True
391,4,4,0.4733130807677905,True
392,32,214,0.31690782969517095,True
393,30,201,0.3378526550257343,True
394,3,2,0.4878145058949788,True
395,3,2,0.4721727967262268,True
396,6,9,0.4472396542628606,True
397,5,6,0.432415634393692,True
398,29,167,0.302806208947022,True
399,7,8,0.27805073133536745,True
400,3,2,0.46440767745176953,True
401,9,24,0.4954063470164935,True
402,8,15,0.3894856332668236,True
403,8,16,0.4292314882789339,True
404,5,7,0.5130933940410614,True
405,5,6,0.4475450158119202,True
406,14,39,0.317430426131238,True
407,4,3,0.3478465850154559,True
408,16,48,0.29484062530100347,True
409,47,583,0.39712853171448265,True
410,12,36,0.40394540605219925,True
411,6,11,0.5743384550015131,True
412,5,6,0.4352375462651253,True
413,1,0,,True
414,6,10,0.46484294136365256,True
415,13,40,0.38332814761461353,True
416,3,2,0.4931016266345978,True
417,22,128,0.41100255564435734,True
418,19,82,0.35323155963281444,True
419,1,0,,True
420,20,78,0.2995049038999959,True
421,18,68,0.3334328594550588,True
422,9,27,0.5566478152241972,True
423,4,4,0.48139501363039017,True
424,4,4,0.48730698227882385,True
425,6,7,0.32901579737663267,True
426,5,5,0.36805052012205125,True
427,6,6,0.2928320477406184,True
428,28,156,0.3064473084514103,True
429,6,8,0.39330162505308786,True
430,17,54,0.2903621365480563,True
431,6,6,0.28468612134456633,True
432,1,0,,True
433,37,311,0.34557123533687795,True
434,37,290,0.3171548372408649,True
435,4,4,0.4786052380998929,True
436,7,10,0.3518478586560204,True
437,1,0,,True
438,20,89,0.3440258411200423,True
439,5,5,0.3623357728123665,True
440,24,129,0.34573219997295435,True
441,5,4,0.28069388270378115,True
442,11,28,0.3769249152053486,True
443,9,22,0.4509611572656367,True
444,9,22,0.45018192049529815,True
445,6,7,0.33109124898910525,True
446,6,9,0.443274720509847,True
447,7,10,0.3485326213496072,True
448,4,5,0.6069262077411016,True
449,3,2,0.46708009640375775,True
450,4,5,0.6318885212143263,True
451,9,18,0.3613613591425949,True
452,8,14,0.3623421298606055,True
453,14,46,0.37456425303941243,True
454,31,188,0.29549334087679463,True
455,24,127,0.34386710887369903,True
456,2,1,0.7108814865350723,True
457,18,72,0.3463856987898646,True
458,13,31,0.2957501982649167,True
459,5,6,0.4234499171376228,True
460,7,11,0.3746884181385949,True
461,7,11,0.38175352982112337,True
462,5,4,0.30694043934345244,True
463,8,14,0.36659844326121466,True
464,16,51,0.30968732573091984,True
465,10,31,0.5011934631400639,True
466,2,1,0.8232438266277313,True
467,1,0,,True
468,9,19,0.3839544103377395,True
469,8,19,0.494353248072522,True
470,1,0,,True
471,17,77,0.41570207717664104,True
472,4,4,0.47025733441114426,True
473,4,3,0.3545903041958809,True
474,20,79,0.3010930827573726,True
475,7,12,0.4110066890716553,True
476,7,15,0.533286648846808,True
477,4,5,0.6092420940597852,True
478,17,65,0.3495039990281357,True
479,30,258,0.43995823887572894,True
480,39,312,0.31062413112595977,True
481,7,8,0.27903440594673157,True
482,7,10,0.34618891066028956,True
483,9,22,0.4471709980732865,True
484,2,1,0.7089842706918716,True
485,4,4,0.4940342729290326,True
486,8,12,0.31390979673181263,True
487,9,26,0.5455081351101398,True
488,35,248,0.3099194335837324,True
489,13,45,0.4433678096303573,True
490,4,4,0.5306863759954771,True
491,8,14,0.3668575462486063,True
492,4,3,0.3524469907085101,True
493,2,1,0.7510038018226624,True
494,4,6,0.7533369486530622,True
495,14,47,0.3819210632489278,True
496,17,67,0.3677761470351149,True
497,13,39,0.3752519327860612,True
498,4,3,0.37354401499032974,True
499,2,1,0.6919406801462173,True
500,5,5,0.3501423358917236,True
501,14,47,0.37808903658783044,True
502,3,2,0.46790221830209094,True
503,12,33,0.36776713823730295,True
504,6,12,0.5972026179234187,True
505,9,23,0.47236408872736824,True
506,10,25,0.4153657505909602,True
507,6,12,0.595359985033671,True
508,5,6,0.44083747267723083,True
509,6,8,0.3890908847252528,True
510,7,12,0.4186258940469651,True
511,3,2,0.4639209061861038,True
512,24,95,0.2516741317467413,True
513,21,98,0.34197286069393157,True
514,8,14,0.36003270000219345,True
515,7,14,0.5014814046167192,True
516,30,199,0.3417133813274318,True
517,9,24,0.49218575863374603,True
518,8,15,0.39355137571692467,True
519,2,1,0.7030331492424011,True
520,10,24,0.39299328492747415,True
521,4,3,0.36478224893411,True
522,16,59,0.36190493690470854,True
523,12,37,0.40536138460491644,True
524,7,11,0.38389305415607633,True
525,1,0,,True
526,3,2,0.4808538258075714,True
527,7,15,0.5269322643677393,True
528,5,6,0.4516447573900223,True
529,10,23,0.3822358909580443,True
530,1,0,,True
531,5,4,0.28796805143356324,True
532,11,27,0.37002681520852176,True
533,11,40,0.5425873016769236,True
534,7,14,0.48330279900914147,True
535,2,1,0.6988551020622253,True
536,12,32,0.3549593021020745,True
537,15,49,0.343548207623618,True
538,11,25,0.33310692581263457,True
539,22,149,0.4851762591115324,True
540,6,9,0.4336186875899633,True
541,11,34,0.45555875328454104,True
542,8,17,0.4601194815976279,True
543,7,7,0.23673316694441296,True
544,8,14,0.3636176639369556,True
545,2,1,0.7011664360761642,True
546,23,140,0.4103085989419651,True
547,2,1,0.706835076212883,True
548,16,58,0.34933479179938637,True
549,2,1,0.7061208933591843,True
550,8,17,0.4600216698433672,True
551,18,67,0.32839588460579416,True
552,3,2,0.5013567507266998,True
553,8,15,0.3897494583257607,True
554,4,3,0.3755548968911171,True
555,16,52,0.31778834586342175,True
556,3,2,0.46677088737487793,True
557,12,33,0.36889462850310584,True
558,26,147,0.3359630648906414,True
559,3,3,0.7699356426795324,True
560,6,8,0.3982912401358287,True
561,9,14,0.2944573275744915,True
562,16,50,0.3080930120001237,True
563,1,0,,True
564,21,93,0.32760649138972875,True
565,3,2,0.49664513270060223,True
566,21,82,0.2887879554004896,True
567,7,11,0.38195440031233285,True
568,4,5,0.607189546028773,True
569,2,1,0.68848617374897,True
570,4,4,0.4903389612833659,True
571,8,12,0.31321490768875393,True
572,1,0,,True
573,23,109,0.31773833052914136,True
574,13,49,0.4649312551587056,True
575,1,0,,True
576,5,5,0.3716075927019119,True
577,1,0,,True
578,3,2,0.467510923743248,True
579,7,11,0.3853956389994848,True
580,1,0,,True
581,2,1,0.6874919086694717,True
582,11,32,0.43892667374827643,True
583,6,10,0.49352897504965465,True
584,3,2,0.459359551469485,True
585,7,7,0.23934826325802577,True
586,3,3,0.7436235497395197,True
587,1,0,,True
588,8,16,0.420563348702022,True
589,4,4,0.47872718920310336,True
590,29,137,0.24917958985114919,True
591,3,2,0.47086191177368164,True
592,2,1,0.7032352536916733,True
593,11,22,0.29104551672935486,True
