community,size,internal_edges,weighted_density,connected
0,1,0,,True
1,16,72,0.4934510517865419,True
2,35,128,0.16853613272434523,True
3,69,572,0.18736390313427365,True
4,11,32,0.4578070789575577,True
5,6,5,0.25217112600803376,True
6,19,52,0.23455464482656,True
7,8,13,0.3522984209869589,True
8,26,103,0.2457773390641579,True
9,21,61,0.22172934051070894,True
10,14,37,0.31520558173184865,True
11,2,1,0.7462183237075806,True
12,18,65,0.3353128808191399,True
13,22,71,0.24009434124092002,True
14,19,74,0.34116601691259973,True
15,30,135,0.2354360129298835,True
16,34,161,0.2180595828781366,True
17,17,53,0.29957250023589416,True
18,8,14,0.39613245906574385,True
19,22,93,0.3184297874376371,True
20,10,19,0.32374809152550166,True
21,63,578,0.2258491732344161,True
22,251,6843,0.1650970159997028,True
23,60,657,0.28903989833963795,True
24,29,140,0.26787544412565933,True
25,5,5,0.37736573815345764,True
26,21,82,0.30120481642938796,True
27,159,4313,0.26502203839560357,True
28,10,18,0.3031251182158788,True
29,5,5,0.3774004176259041,True
30,2,1,0.7263185232877731,True
31,8,12,0.33060529242668835,True
32,7,7,0.25293025232496713,True
33,40,242,0.23844782261130137,True
34,17,49,0.27229727037689266,True
35,5,4,0.30398014932870865,True
36,33,142,0.20693655032664537,True
37,3,2,0.5110184053579966,True
38,1,0,,True
39,161,2667,0.15732951102234563,True
40,64,732,0.27913358298292945,True
41,3,2,0.5233367482821146,True
42,10,14,0.24052175184090932,True
43,17,65,0.3798372697304277,True
44,10,15,0.2560250113407771,True
45,29,121,0.22994235429564133,True
46,1,0,,True
47,1,0,,True
48,11,21,0.2921319918199019,True
49,12,30,0.358296099485773,True
50,7,11,0.39836784913426354,True
51,2,1,0.7761057019233704,True
52,20,64,0.2553075360624414,True
53,32,173,0.2670838249426696,True
54,17,43,0.24197189334560842,True
55,12,32,0.37888656692071393,True
56,9,12,0.2582176849246025,True
57,12,18,0.20757762229803836,True
58,32,166,0.2561216072569932,True
59,17,33,0.18472154383711956,True
60,8,9,0.25402777056608883,True
61,12,24,0.27019800290916907,True
62,8,13,0.35726560758692877,True
63,1,0,,True
64,20,79,0.3215995434083437,True
65,1,0,,True
66,2,1,0.7775672376155853,True
67,198,5321,0.20730029792319393,True
68,4,5,0.6243719110886256,True
69,1,0,,True
