community,size,mean_best_match_jaccard,min_best_match_jaccard,fraction_members_in_best_match_every_repeat
0,1,1.0,1.0,1.0
1,14,1.0,1.0,1.0
2,7,0.46875,0.25,0.14285714285714285
3,40,0.4894762406437906,0.4576271186440678,0.425
4,12,0.7845695970695971,0.75,0.75
5,4,0.75,0.6,0.75
6,8,0.8666666666666667,0.7777777777777778,0.875
7,6,0.763888888888889,0.5555555555555556,0.8333333333333334
8,29,0.5043275418275418,0.40540540540540543,0.3448275862068966
9,3,0.19375,0.1875,1.0
10,12,0.9006410256410257,0.7692307692307693,0.75
11,2,1.0,1.0,1.0
12,16,0.897671568627451,0.8333333333333334,0.875
13,15,0.6562791783380019,0.5,0.7333333333333333
14,11,0.4358178053830228,0.3333333333333333,0.7272727272727273
15,7,0.6041666666666666,0.3333333333333333,0.42857142857142855
16,64,0.4059971033868093,0.25333333333333335,0.125
17,2,0.7083333333333333,0.5,1.0
18,24,0.5606532935754948,0.42857142857142855,0.4583333333333333
19,16,0.488562091503268,0.2222222222222222,0.125
20,13,0.5,0.5,0.5384615384615384
21,8,0.4738095238095238,0.3,0.25
22,8,0.4926573426573426,0.45454545454545453,0.5
23,10,0.6259698275862069,0.2413793103448276,0.6
24,58,0.8860153256704981,0.8275862068965517,0.7931034482758621
25,27,0.7498677248677249,0.6666666666666666,0.6666666666666666
26,4,0.95,0.8,1.0
27,8,0.90625,0.875,0.875
28,5,0.6238095238095238,0.42857142857142855,0.2
29,128,0.9547862617874401,0.946969696969697,0.9765625
30,10,0.5148692810457516,0.3888888888888889,0.5
31,7,0.8392857142857143,0.5,0.42857142857142855
32,2,0.8333333333333333,0.6666666666666666,1.0
33,6,0.6577380952380952,0.5,0.8333333333333334
34,7,0.24128787878787877,0.18181818181818182,0.0
35,5,0.6416666666666666,0.4,0.2
36,7,0.4386363636363636,0.3,0.42857142857142855
37,9,0.2721611721611722,0.16666666666666666,0.0
38,3,1.0,1.0,1.0
39,1,1.0,1.0,1.0
40,8,0.90625,0.625,0.625
41,57,0.9652903811252269,0.9482758620689655,0.9473684210526315
42,28,0.4533824233716475,0.3888888888888889,0.35714285714285715
43,3,0.6333333333333333,0.6,0.6666666666666666
44,6,0.16904761904761906,0.14285714285714285,0.16666666666666666
45,19,0.8559210526315789,0.7368421052631579,0.7368421052631579
46,4,0.9375,0.75,0.75
47,1,1.0,1.0,1.0
48,1,1.0,1.0,1.0
49,10,0.625,0.5,0.5
50,10,1.0,1.0,1.0
51,7,0.7,0.2,0.42857142857142855
52,2,1.0,1.0,1.0
53,1,0.31367521367521367,0.06666666666666667,1.0
54,29,0.24098563554775143,0.23529411764705882,0.034482758620689655
55,28,0.43995535714285716,0.25,0.25
56,9,0.9472222222222222,0.8888888888888888,0.8888888888888888
57,3,0.7166666666666667,0.6,0.6666666666666666
58,2,0.20476190476190476,0.16666666666666666,0.5
59,60,0.6133222145385022,0.45161290322580644,0.45
60,5,0.526984126984127,0.2222222222222222,0.0
61,12,0.8839285714285714,0.7857142857142857,0.9166666666666666
62,3,0.9166666666666666,0.6666666666666666,0.6666666666666666
63,3,0.775,0.5,0.6666666666666666
64,8,0.5560897435897436,0.3076923076923077,0.125
65,8,0.625,0.5,0.125
66,29,0.5394331119544592,0.4117647058823529,0.0
67,5,1.0,1.0,1.0
68,8,0.8263888888888888,0.7777777777777778,0.875
69,4,0.23863636363636365,0.09090909090909091,0.25
70,1,1.0,1.0,1.0
71,2,0.32142857142857145,0.2,0.5
72,1,0.5857142857142857,0.14285714285714285,1.0
73,2,0.85,0.4,1.0
74,153,0.9638085651072985,0.9386503067484663,0.9673202614379085
75,4,1.0,1.0,1.0
76,2,1.0,1.0,1.0
77,1,1.0,1.0,1.0
78,3,0.9,0.6,1.0
79,16,0.7195454545454545,0.56,0.8125
80,25,0.7634856110465866,0.4878048780487805,0.8
81,24,0.8648575498575498,0.8148148148148148,0.8333333333333334
82,21,0.807328478617834,0.7241379310344828,0.8095238095238095
83,8,0.5986111111111111,0.25,0.25
84,5,0.7857142857142857,0.5714285714285714,0.8
85,50,0.6798744282705707,0.5483870967741935,0.64
86,9,0.6797979797979798,0.36363636363636365,0.4444444444444444
87,1,1.0,1.0,1.0
88,3,0.27142857142857146,0.14285714285714285,0.0
89,18,0.3675984809792906,0.20689655172413793,0.16666666666666666
90,20,0.7478354978354979,0.6363636363636364,0.55
91,8,0.7091346153846154,0.46153846153846156,0.625
92,52,0.5911495911495911,0.42857142857142855,0.4423076923076923
93,3,0.8,0.6,1.0
94,4,0.4419642857142857,0.125,0.0
95,4,0.7833333333333333,0.6666666666666666,1.0
96,9,0.8458333333333333,0.5833333333333334,0.7777777777777778
97,15,0.7487132352941177,0.3125,0.3333333333333333
98,23,0.5345886752136753,0.4375,0.30434782608695654
99,5,1.0,1.0,1.0
100,20,0.5220962732919255,0.32142857142857145,0.4
101,13,0.7214285714285714,0.6,0.6923076923076923
102,2,1.0,1.0,1.0
103,68,0.9483654850502676,0.8918918918918919,0.9558823529411765
104,32,0.8728325728325728,0.8108108108108109,0.9375
105,28,0.4674107142857143,0.22916666666666666,0.17857142857142858
106,55,0.7051915607505608,0.46774193548387094,0.09090909090909091
107,5,0.65,0.4,0.4
108,4,0.7625,0.75,0.75
109,10,0.6636363636363636,0.6,0.4
110,5,0.7,0.6,0.6
111,4,0.5505952380952381,0.25,0.5
112,5,0.9,0.6,0.6
113,5,0.4603174603174603,0.42857142857142855,0.6
114,18,0.5731530301603741,0.23255813953488372,0.5
115,7,0.5027472527472527,0.15384615384615385,0.14285714285714285
116,11,0.2245004995004995,0.15384615384615385,0.18181818181818182
117,4,0.6083333333333334,0.3333333333333333,0.5
118,13,0.4522408963585434,0.3333333333333333,0.38461538461538464
119,4,0.875,0.75,0.75
120,11,0.6212121212121212,0.5,0.6363636363636364
121,37,0.9000808500808501,0.7555555555555555,0.918918918918919
122,20,0.4424503657262278,0.2,0.15
123,75,0.38804349371021896,0.32653061224489793,0.3466666666666667
124,5,0.7931547619047619,0.625,1.0
125,23,0.8244444444444444,0.7777777777777778,0.8695652173913043
126,2,0.39166666666666666,0.16666666666666666,0.5
127,5,0.8511904761904762,0.5714285714285714,0.8
128,10,0.9545454545454546,0.9090909090909091,1.0
129,5,0.3214285714285714,0.25,0.4
130,158,0.9192394069855065,0.8650306748466258,0.8607594936708861
131,10,0.7897727272727273,0.5,0.5
132,9,0.35106951871657754,0.058823529411764705,0.0
