token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,2
一向,19
一味,20
一块儿,2
一塌糊涂,21
一声不吭,15
一大早,22
一天到晚,23
一头,24
一如既往,19
一定,25
一家人,26
一帆风顺,27
一带,27
一干二净,21
一年到头,23
一应俱全,28
一度,13
一律,14
一心,29
一心一意,30
一成不变,31
一手,32
一技之长,33
一把手,34
一揽子,35
一方面,36
一旁,37
一无所有,7
一无所知,7
一旦,38
一早,22
一时,39
一晃,40
一样,41
一概,14
一概而论,42
一模一样,43
一次性,44
一毛不拔,45
一流,46
一点儿,47
一生,48
一番,49
一目了然,50
一直,19
一眼,15
一瞬间,3
一筹莫展,51
一系列,8
一线,52
一经,53
一致,54
一般,55
一般来说,56
一行,57
一言一行,6
一言不发,15
一贯,19
一起,2
一路,27
一路上,58
一路平安,59
一路顺风,27
一身,60
一辈子,48
一边,37
一连,61
一连串,8
一道,62
一部分,16
一锅粥,63
一长一短,64
一阵,65
一面,36
一鼓作气,5
一齐,2
丁,66
七,1
七嘴八舌,15
万,67
万一,38
万万,68
万分,69
万古长青,70
万无一失,71
万能,72
丈夫,73
三,1
三明治,74
三番五次,13
三维,75
三角,76
上,77
上下,78
上个月,79
上任,80
上升,81
上午,22
上去,82
上台,83
上司,84
上周,79
上场,85
上头,37
上学,86
上岗,87
上市,88
上帝,89
上当,90
上报,91
上方,92
上旬,79
上映,93
上期,94
上来,82
上楼,82
上次,79
上流,95
上涨,81
上游,96
上演,97
上火,98
上班,99
上班族,100
上瘾,101
上空,102
上级,84
上网,103
上衣,104
上诉,105
上课,106
上调,107
上车,108
上边,37
上述,109
上门,110
上限,111
上面,37
下,112
下一代,9
下个月,79
下乡,113
下令,114
下决心,115
下功夫,116
下午,22
下去,82
下台,80
下场,85
下坠,117
下属,118
下山,82
下岗,80
下意识,119
下手,120
下旬,79
下期,94
下来,82
下棋,121
下楼,82
下次,122
下海,123
下游,96
下班,22
下级,84
下落,117
下课,124
下调,107
下跌,81
下车,108
下载,125
下边,37
下降,126
下雨,127
下雪,127
下面,37
不,128
不一会儿,129
不一定,25
不为人知,130
不久,129
不了了之,131
不予,132
不亚于,133
不亦乐乎,134
不仅,135
不仅仅,135
不以为然,136
不但,135
不便,137
不值,138
不假思索,139
不停,140
不像话,141
不光,135
不免,119
不再,142
不准,143
不利,144
不利于,144
不可思议,145
不可避免,119
不同,43
不同寻常,43
不在乎,146
不堪,147
不够,148
不大,149
不好意思,21
不如,150
不如说,135
不妨,150
不安,136
不定,151
