run_a,run_b,adjusted_rand_index
pca200-fullfit-t0.686-r0.1-run01,pca200-fullfit-t0.686-r0.1-run02,0.7466623101526373
pca200-fullfit-t0.686-r0.1-run01,pca200-fullfit-t0.686-r0.1-run03,0.7256639178716101
pca200-fullfit-t0.686-r0.1-run01,pca200-fullfit-t0.686-r0.1-run04,0.7058316666085519
pca200-fullfit-t0.686-r0.1-run01,pca200-fullfit-t0.686-r0.1-run05,0.7262019887699666
pca200-fullfit-t0.686-r0.1-run02,pca200-fullfit-t0.686-r0.1-run03,0.7467290819111532
pca200-fullfit-t0.686-r0.1-run02,pca200-fullfit-t0.686-r0.1-run04,0.7194858399261391
pca200-fullfit-t0.686-r0.1-run02,pca200-fullfit-t0.686-r0.1-run05,0.7222837162536303
pca200-fullfit-t0.686-r0.1-run03,pca200-fullfit-t0.686-r0.1-run04,0.7542491759795888
pca200-fullfit-t0.686-r0.1-run03,pca200-fullfit-t0.686-r0.1-run05,0.7180133914580562
pca200-fullfit-t0.686-r0.1-run04,pca200-fullfit-t0.686-r0.1-run05,0.7282402301146979
raw-t0.7-r0.2-run01,raw-t0.7-r0.2-run02,0.7088594677210036
raw-t0.7-r0.2-run01,raw-t0.7-r0.2-run03,0.7138647713257914
raw-t0.7-r0.2-run01,raw-t0.7-r0.2-run04,0.7160284945197553
raw-t0.7-r0.2-run01,raw-t0.7-r0.2-run05,0.719131430103657
raw-t0.7-r0.2-run02,raw-t0.7-r0.2-run03,0.7110083929902852
raw-t0.7-r0.2-run02,raw-t0.7-r0.2-run04,0.7443176579956678
raw-t0.7-r0.2-run02,raw-t0.7-r0.2-run05,0.7601576892994144
raw-t0.7-r0.2-run03,raw-t0.7-r0.2-run04,0.7239643470406867
raw-t0.7-r0.2-run03,raw-t0.7-r0.2-run05,0.7383662366482464
raw-t0.7-r0.2-run04,raw-t0.7-r0.2-run05,0.7480474224930461
raw-t0.725-r0.1-run01,raw-t0.725-r0.1-run02,0.7359311701308527
raw-t0.725-r0.1-run01,raw-t0.725-r0.1-run03,0.7180963597987715
raw-t0.725-r0.1-run01,raw-t0.725-r0.1-run04,0.7202999003655792
raw-t0.725-r0.1-run01,raw-t0.725-r0.1-run05,0.6984196574131509
raw-t0.725-r0.1-run02,raw-t0.725-r0.1-run03,0.7473205226524992
raw-t0.725-r0.1-run02,raw-t0.725-r0.1-run04,0.7290814416412775
raw-t0.725-r0.1-run02,raw-t0.725-r0.1-run05,0.7263298126713785
raw-t0.725-r0.1-run03,raw-t0.725-r0.1-run04,0.7592760228315795
raw-t0.725-r0.1-run03,raw-t0.725-r0.1-run05,0.7271164982812207
raw-t0.725-r0.1-run04,raw-t0.725-r0.1-run05,0.739092847287891
raw-t0.725-r0.2-run01,raw-t0.725-r0.2-run02,0.7400813147741221
raw-t0.725-r0.2-run01,raw-t0.725-r0.2-run03,0.7429545639137879
raw-t0.725-r0.2-run01,raw-t0.725-r0.2-run04,0.7721563609382007
raw-t0.725-r0.2-run01,raw-t0.725-r0.2-run05,0.7561217623970222
raw-t0.725-r0.2-run02,raw-t0.725-r0.2-run03,0.7428190085870287
raw-t0.725-r0.2-run02,raw-t0.725-r0.2-run04,0.7460389044214232
raw-t0.725-r0.2-run02,raw-t0.725-r0.2-run05,0.7548997277378867
raw-t0.725-r0.2-run03,raw-t0.725-r0.2-run04,0.7513861640858113
raw-t0.725-r0.2-run03,raw-t0.725-r0.2-run05,0.7523776095083706
raw-t0.725-r0.2-run04,raw-t0.725-r0.2-run05,0.7534349037452475
